"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","81.40","81.30","81.44","80.50","46.44K","-0.09%"
"01/03/2014","80.62","80.80","80.99","80.03","31.52K","-0.96%"
"01/07/2014","79.05","79.50","80.58","79.00","73.22K","-1.95%"
"01/08/2014","79.80","79.05","79.80","79.05","28.01K","0.95%"
"01/09/2014","79.80","79.00","79.80","78.00","63.04K","0.00%"
"01/10/2014","79.80","79.80","79.80","77.00","54.63K","0.00%"
"01/13/2014","78.93","78.50","81.00","78.32","230.56K","-1.09%"
"01/14/2014","80.20","78.93","80.20","78.60","25.31K","1.61%"
"01/15/2014","80.70","80.00","80.70","79.54","14.11K","0.62%"
"01/16/2014","80.80","80.70","80.80","80.20","52.59K","0.12%"
"01/17/2014","81.35","80.80","81.35","80.41","38.53K","0.68%"
"01/20/2014","84.01","81.35","84.20","81.35","86.23K","3.27%"
"01/21/2014","85.30","84.01","85.80","84.01","363.49K","1.54%"
"01/22/2014","86.00","85.23","86.80","85.23","519.17K","0.82%"
"01/23/2014","86.89","86.34","88.50","86.01","344.16K","1.03%"
"01/24/2014","86.83","87.00","88.50","85.32","177.12K","-0.07%"
"01/27/2014","86.20","85.51","86.30","81.21","188.66K","-0.73%"
"01/28/2014","86.65","86.30","87.84","85.75","208.23K","0.52%"
"01/29/2014","87.00","87.00","88.50","85.60","260.89K","0.40%"
"01/30/2014","87.34","85.83","87.34","85.83","294.03K","0.39%"
"01/31/2014","88.00","86.51","88.00","86.40","211.43K","0.76%"
"02/03/2014","88.00","88.00","89.91","87.51","40.69K","0.00%"
"02/04/2014","86.78","86.66","87.20","86.35","97.39K","-1.39%"
"02/05/2014","87.20","87.00","88.50","87.00","74.22K","0.48%"
"02/06/2014","89.70","88.84","89.79","88.01","254.24K","2.87%"
"02/07/2014","89.50","89.49","89.99","89.31","134.40K","-0.22%"
"02/10/2014","89.65","89.00","90.50","89.00","185.89K","0.17%"
"02/11/2014","91.80","90.00","92.50","89.71","279.63K","2.40%"
"02/12/2014","93.50","91.80","94.00","91.80","144.74K","1.85%"
"02/13/2014","93.00","93.50","93.50","91.64","71.47K","-0.53%"
"02/14/2014","92.50","92.51","93.10","92.50","111.59K","-0.54%"
