"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","17.40","17.50","17.50","17.38","139.35K","-0.80%"
"01/03/2014","17.29","17.35","17.35","17.23","90.11K","-0.63%"
"01/07/2014","16.99","17.40","17.40","16.85","205.33K","-1.74%"
"01/08/2014","16.90","16.90","17.02","16.51","196.25K","-0.53%"
"01/09/2014","16.84","17.00","17.00","16.79","81.10K","-0.36%"
"01/10/2014","16.80","16.63","16.80","16.50","224.82K","-0.24%"
"01/13/2014","16.80","16.89","17.39","16.77","160.78K","0.00%"
"01/14/2014","16.98","16.85","17.14","16.74","68.89K","1.07%"
"01/15/2014","17.35","16.98","17.64","16.98","293.55K","2.18%"
"01/16/2014","17.65","17.60","17.85","17.40","354.70K","1.73%"
"01/17/2014","17.26","17.79","17.81","17.21","196.61K","-2.21%"
"01/20/2014","17.26","17.25","17.55","17.22","166.04K","0.00%"
"01/21/2014","18.00","17.50","18.08","17.30","360.05K","4.29%"
"01/22/2014","18.00","18.01","18.18","17.95","352.48K","0.00%"
"01/23/2014","18.30","18.00","18.38","17.97","317.28K","1.67%"
"01/24/2014","18.35","18.36","18.40","18.25","175.81K","0.27%"
"01/27/2014","18.34","18.30","18.41","17.55","244.07K","-0.05%"
"01/28/2014","18.15","18.35","18.39","18.06","122.53K","-1.04%"
"01/29/2014","18.34","18.20","18.34","18.15","70.79K","1.05%"
"01/30/2014","18.22","18.34","18.34","18.00","90.44K","-0.65%"
"01/31/2014","18.34","18.22","18.35","18.19","65.83K","0.66%"
"02/03/2014","18.20","18.34","18.49","18.10","159.80K","-0.76%"
"02/04/2014","18.12","18.00","18.24","17.80","49.09K","-0.44%"
"02/05/2014","18.04","18.12","18.12","18.00","81.05K","-0.44%"
"02/06/2014","17.85","18.01","18.40","17.67","220.76K","-1.05%"
"02/07/2014","17.94","17.95","18.00","17.79","102.94K","0.50%"
"02/10/2014","17.91","18.00","18.28","17.85","107.01K","-0.17%"
"02/11/2014","17.95","18.09","18.09","17.86","74.72K","0.22%"
"02/12/2014","17.65","17.99","18.00","16.80","265.80K","-1.67%"
"02/13/2014","17.62","17.63","17.65","17.00","261.43K","-0.17%"
"02/14/2014","17.66","17.70","17.80","17.35","70.65K","0.23%"
"02/17/2014","17.40","17.75","17.79","17.40","71.60K","-1.47%"
"02/18/2014","17.66","17.40","17.67","17.10","184.62K","1.49%"
"02/19/2014","17.66","17.76","17.80","17.55","84.35K","0.00%"
"02/20/2014","17.49","17.60","17.60","17.20","71.84K","-0.96%"
"02/21/2014","17.25","17.49","17.49","17.20","108.28K","-1.37%"
"02/24/2014","17.30","17.24","17.35","17.16","86.67K","0.29%"
"02/25/2014","17.11","17.30","17.30","17.10","81.82K","-1.10%"
"02/26/2014","16.80","17.10","17.17","16.60","228.12K","-1.81%"
"02/27/2014","16.71","16.70","17.25","16.57","557.69K","-0.54%"
"02/28/2014","17.50","16.72","17.50","16.72","150.24K","4.73%"
"03/03/2014","16.45","17.00","17.00","15.30","887.85K","-6.00%"
"03/04/2014","17.10","16.40","17.15","16.40","173.86K","3.95%"
"03/05/2014","16.85","17.15","17.45","16.80","172.75K","-1.46%"
"03/06/2014","17.01","16.90","17.38","16.89","157.81K","0.95%"
"03/07/2014","16.95","17.20","17.37","16.95","130.25K","-0.35%"
"03/10/2014","16.95","16.95","17.22","16.78","210.16K","0.00%"
"03/11/2014","16.75","16.95","17.00","16.73","33.10K","-1.18%"
"03/12/2014","15.00","14.31","15.46","14.15","2.33M","-10.45%"
"03/13/2014","14.00","15.00","15.15","13.70","830.28K","-6.67%"
"03/14/2014","12.96","13.76","13.79","12.96","1.10M","-7.43%"
"03/17/2014","14.97","13.00","15.26","13.00","893.63K","15.51%"
"03/18/2014","14.35","14.97","14.97","14.31","694.02K","-4.14%"
"03/19/2014","14.25","14.49","14.79","14.14","555.53K","-0.70%"
"03/20/2014","14.50","14.25","14.50","14.20","426.61K","1.75%"
"03/21/2014","15.00","14.61","15.45","14.61","687.21K","3.45%"
"03/24/2014","15.10","15.25","15.30","14.90","190.74K","0.67%"
"03/25/2014","15.19","15.20","15.20","15.10","67.82K","0.60%"
"03/26/2014","15.37","15.22","15.75","15.19","319.25K","1.18%"
"03/27/2014","15.42","15.55","15.60","15.30","276.00K","0.33%"
"03/28/2014","15.40","15.50","15.65","15.40","398.18K","-0.13%"
"03/31/2014","15.32","15.51","15.65","15.32","296.02K","-0.52%"
"04/01/2014","15.60","15.56","15.72","15.42","280.21K","1.83%"
"04/02/2014","15.90","15.65","15.99","15.65","113.74K","1.92%"
"04/03/2014","16.00","15.92","16.10","15.85","94.47K","0.63%"
"04/04/2014","15.77","16.00","16.00","15.58","88.08K","-1.44%"
"04/07/2014","15.23","15.50","15.57","15.10","132.63K","-3.42%"
"04/08/2014","15.20","15.25","15.39","15.16","36.45K","-0.20%"
"04/09/2014","15.26","15.20","15.50","15.20","41.43K","0.39%"
"04/10/2014","14.91","15.45","15.45","14.91","98.27K","-2.29%"
"04/11/2014","14.77","14.87","15.07","14.70","113.51K","-0.94%"
"04/14/2014","14.60","14.70","14.70","14.33","117.10K","-1.15%"
"04/15/2014","14.40","14.50","14.55","14.40","48.11K","-1.37%"
"04/16/2014","14.24","14.41","14.58","14.21","186.27K","-1.11%"
"04/17/2014","14.62","14.30","14.69","14.30","52.44K","2.67%"
"04/22/2014","15.05","14.95","15.10","14.89","68.47K","2.94%"
"04/23/2014","15.02","15.15","15.26","14.90","38.48K","-0.20%"
"04/24/2014","14.70","15.00","15.14","14.51","83.23K","-2.13%"
"04/25/2014","14.90","14.70","14.90","14.53","30.14K","1.36%"
"04/28/2014","14.90","14.90","15.07","14.72","49.58K","0.00%"
"04/29/2014","15.00","15.05","15.05","14.80","20.14K","0.67%"
"04/30/2014","14.99","15.00","15.00","14.84","27.54K","-0.07%"
"05/02/2014","14.70","14.98","14.98","14.70","44.47K","-1.93%"
"05/05/2014","14.39","14.84","14.97","14.33","178.67K","-2.11%"
"05/06/2014","14.35","14.39","14.60","14.35","12.54K","-0.28%"
"05/07/2014","14.00","14.35","14.37","13.51","280.12K","-2.44%"
"05/08/2014","14.27","14.05","14.46","14.05","81.20K","1.93%"
"05/09/2014","13.95","14.26","14.37","13.95","315.25K","-2.24%"
"05/12/2014","13.90","13.94","13.94","13.70","48.67K","-0.36%"
"05/13/2014","14.18","13.90","14.18","13.90","69.98K","2.01%"
"05/14/2014","14.25","14.20","14.34","14.02","62.18K","0.49%"
"05/15/2014","14.25","14.49","14.49","14.25","28.13K","0.00%"
"05/16/2014","14.01","14.05","14.17","13.62","27.62K","-1.68%"
"05/19/2014","14.37","14.07","14.37","14.01","195.50K","2.57%"
"05/20/2014","14.22","14.42","14.50","14.20","30.54K","-1.04%"
"05/21/2014","14.20","14.20","14.25","14.20","94.74K","-0.14%"
"05/22/2014","14.85","14.22","14.85","14.22","64.75K","4.58%"
"05/23/2014","14.66","14.99","15.27","14.66","65.39K","-1.28%"
"05/26/2014","14.89","14.83","15.00","14.70","18.43K","1.57%"
"05/27/2014","14.80","14.95","14.99","14.80","13.65K","-0.60%"
"05/28/2014","14.80","14.92","14.92","14.75","14.58K","0.00%"
"05/29/2014","14.89","14.88","14.94","14.76","18.95K","0.61%"
"05/30/2014","15.20","14.89","15.20","14.71","160.48K","2.08%"
"06/02/2014","15.40","15.30","15.59","15.25","53.42K","1.32%"
"06/03/2014","15.38","15.49","15.50","15.35","99.95K","-0.13%"
"06/04/2014","15.32","15.49","15.49","15.32","56.60K","-0.39%"
"06/05/2014","16.15","15.35","16.29","15.35","523.69K","5.42%"
