"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","19.80","19.92","19.94","19.60","353.43K","0.00%"
"01/03/2014","19.78","19.61","19.90","19.60","202.34K","-0.10%"
"01/07/2014","19.33","19.51","19.51","19.25","539.26K","-2.28%"
"01/08/2014","18.83","19.40","19.40","18.72","233.34K","-2.59%"
"01/09/2014","18.73","18.90","19.02","18.53","876.43K","-0.53%"
"01/10/2014","19.00","18.55","19.01","18.43","245.67K","1.44%"
"01/13/2014","19.20","19.32","19.45","18.91","415.48K","1.05%"
"01/14/2014","19.00","19.16","19.33","18.85","404.58K","-1.04%"
"01/15/2014","19.00","19.10","19.10","18.56","363.51K","0.00%"
"01/16/2014","19.48","19.00","19.52","18.90","1.46M","2.53%"
"01/17/2014","19.40","19.38","19.85","19.25","326.32K","-0.41%"
"01/20/2014","19.10","19.50","19.50","19.10","168.69K","-1.55%"
"01/21/2014","19.40","19.35","19.59","19.15","395.08K","1.57%"
"01/22/2014","19.82","19.42","19.82","19.42","1.07M","2.16%"
"01/23/2014","20.25","19.87","20.50","19.62","4.49M","2.17%"
"01/24/2014","19.90","20.45","20.45","19.65","665.31K","-1.73%"
"01/27/2014","19.60","19.90","19.90","19.35","547.78K","-1.51%"
"01/28/2014","19.51","19.60","19.70","19.34","1.61M","-0.46%"
"01/29/2014","19.55","19.45","19.74","19.37","908.38K","0.21%"
"01/30/2014","19.35","19.35","19.55","19.20","499.64K","-1.02%"
"01/31/2014","19.70","19.40","19.77","19.30","767.58K","1.81%"
"02/03/2014","19.76","19.71","20.09","19.71","282.96K","0.30%"
"02/04/2014","19.77","19.70","19.88","19.51","782.76K","0.05%"
"02/05/2014","19.85","19.00","20.08","18.91","1.42M","0.40%"
"02/06/2014","20.12","19.82","20.20","19.82","761.06K","1.36%"
"02/07/2014","19.98","20.12","20.12","19.91","418.21K","-0.70%"
"02/10/2014","19.80","20.00","20.00","19.80","163.29K","-0.90%"
"02/11/2014","20.32","19.80","20.35","19.80","2.49M","2.63%"
"02/12/2014","20.80","20.35","20.90","20.35","1.66M","2.36%"
"02/13/2014","20.79","20.80","20.89","20.60","542.20K","-0.05%"
"02/14/2014","20.95","20.79","21.09","20.61","344.69K","0.77%"
"02/17/2014","20.75","21.12","21.15","20.73","171.98K","-0.95%"
"02/18/2014","20.78","20.75","21.00","20.75","371.56K","0.14%"
"02/19/2014","20.56","20.77","20.77","20.25","231.99K","-1.06%"
"02/20/2014","20.49","20.33","20.70","20.22","656.66K","-0.34%"
"02/21/2014","20.44","20.55","20.64","20.29","541.36K","-0.24%"
"02/24/2014","20.39","20.44","20.50","20.18","254.21K","-0.24%"
"02/25/2014","20.39","20.28","20.39","20.26","92.63K","0.00%"
"02/26/2014","19.79","20.22","20.36","19.79","446.84K","-2.94%"
"02/27/2014","19.95","20.02","20.38","19.81","726.76K","0.81%"
"02/28/2014","20.25","20.00","20.25","19.98","389.40K","1.50%"
"03/03/2014","19.50","19.62","19.94","18.96","285.34K","-3.70%"
"03/04/2014","20.50","19.50","20.50","19.49","270.37K","5.13%"
"03/05/2014","20.92","20.39","20.92","20.30","478.54K","2.05%"
"03/06/2014","21.80","20.90","21.80","20.90","993.54K","4.21%"
"03/07/2014","20.90","21.60","21.60","20.70","325.08K","-4.13%"
"03/10/2014","20.49","20.90","20.90","20.01","165.98K","-1.96%"
"03/11/2014","21.19","20.48","21.19","20.26","411.35K","3.42%"
"03/12/2014","20.72","20.90","21.37","20.35","312.22K","-2.22%"
"03/13/2014","20.50","20.72","20.79","20.30","476.45K","-1.06%"
"03/14/2014","20.15","20.10","20.18","19.54","1.11M","-1.71%"
"03/17/2014","20.70","20.11","20.84","20.11","410.74K","2.73%"
"03/18/2014","20.60","20.78","20.78","20.23","420.65K","-0.48%"
"03/19/2014","20.55","20.50","20.72","20.42","569.92K","-0.24%"
"03/20/2014","20.88","20.55","20.99","20.55","569.39K","1.61%"
"03/21/2014","20.98","20.88","22.50","20.45","4.59M","0.48%"
"03/24/2014","20.90","21.19","21.19","20.61","240.02K","-0.38%"
"03/25/2014","20.62","20.75","21.20","20.62","307.62K","-1.34%"
"03/26/2014","20.85","20.62","20.94","20.61","225.05K","1.12%"
"03/27/2014","20.83","20.85","20.99","20.67","204.11K","-0.10%"
"03/28/2014","21.18","21.10","21.40","20.95","376.87K","1.68%"
