"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","386.10","385.20","389.25","383.20","19.63K","-0.39%"
"01/03/2014","382.10","382.40","388.40","382.10","22.08K","-1.04%"
"01/07/2014","369.00","380.10","381.20","368.00","92.50K","-3.43%"
"01/08/2014","376.00","368.20","379.00","360.00","49.38K","1.90%"
"01/09/2014","376.00","377.70","383.20","370.50","41.13K","0.00%"
"01/10/2014","373.00","370.20","380.05","369.30","60.96K","-0.80%"
"01/13/2014","377.00","378.40","381.90","373.25","56.04K","1.07%"
"01/14/2014","380.40","375.00","381.95","374.00","56.44K","0.90%"
"01/15/2014","384.50","382.25","384.50","375.40","98.49K","1.08%"
"01/16/2014","380.00","382.85","385.00","379.00","83.47K","-1.17%"
"01/17/2014","380.50","382.00","382.00","373.10","64.41K","0.13%"
"01/20/2014","377.50","380.05","380.50","373.15","53.34K","-0.79%"
"01/21/2014","384.00","379.00","385.80","374.65","38.50K","1.72%"
"01/22/2014","397.80","386.75","397.80","384.00","77.74K","3.59%"
"01/23/2014","397.80","397.50","402.85","391.00","78.59K","0.00%"
"01/24/2014","392.60","396.55","399.25","381.20","62.64K","-1.31%"
"01/27/2014","378.00","385.05","390.00","370.15","105.55K","-3.72%"
"01/28/2014","376.00","380.75","381.00","372.30","93.71K","-0.53%"
"01/29/2014","379.00","377.80","384.00","374.05","76.26K","0.80%"
"01/30/2014","384.00","380.00","385.00","367.65","136.58K","1.32%"
"01/31/2014","395.00","380.00","395.55","373.80","122.31K","2.86%"
"02/03/2014","392.00","394.75","399.00","389.60","74.99K","-0.76%"
"02/04/2014","383.20","384.10","388.95","381.10","87.49K","-2.24%"
"02/05/2014","384.00","388.00","389.00","383.25","66.27K","0.21%"
"02/06/2014","399.00","384.10","399.50","381.60","134.07K","3.91%"
"02/07/2014","396.55","399.00","401.95","393.00","48.97K","-0.61%"
"02/10/2014","394.50","395.00","397.50","390.15","31.47K","-0.52%"
"02/11/2014","397.70","394.50","407.00","390.65","147.77K","0.81%"
"02/12/2014","412.10","404.95","416.00","400.10","121.31K","3.62%"
"02/13/2014","415.00","412.00","418.35","403.80","69.06K","0.70%"
"02/14/2014","414.15","412.60","415.95","410.50","48.21K","-0.20%"
"02/17/2014","412.70","410.00","418.10","409.50","15.60K","-0.35%"
"02/18/2014","407.50","414.00","416.45","406.70","34.97K","-1.26%"
"02/19/2014","409.90","408.95","410.95","402.10","61.99K","0.59%"
"02/20/2014","404.35","406.95","407.95","401.15","73.71K","-1.35%"
"02/21/2014","411.00","406.50","412.60","406.00","40.23K","1.64%"
"02/24/2014","413.80","408.40","416.00","408.40","54.45K","0.68%"
"02/25/2014","416.45","414.00","417.65","412.05","88.30K","0.64%"
"02/26/2014","412.00","417.00","417.00","403.70","36.10K","-1.07%"
"02/27/2014","412.00","412.50","416.00","407.35","69.69K","0.00%"
"02/28/2014","419.90","415.00","420.00","410.00","114.73K","1.92%"
"03/03/2014","402.00","403.60","414.80","392.10","81.25K","-4.26%"
"03/04/2014","415.00","409.95","418.50","403.00","172.87K","3.23%"
"03/05/2014","422.00","415.00","423.50","414.00","144.44K","1.69%"
"03/06/2014","415.50","421.00","421.00","405.60","165.48K","-1.54%"
"03/07/2014","414.10","415.50","420.35","410.00","89.50K","-0.34%"
"03/10/2014","403.80","412.00","414.55","403.80","85.11K","-2.49%"
"03/11/2014","413.85","408.10","417.50","402.05","85.15K","2.49%"
"03/12/2014","409.20","415.00","416.80","400.00","149.48K","-1.12%"
"03/13/2014","400.00","409.00","411.05","400.00","98.71K","-2.25%"
"03/14/2014","399.50","389.00","405.00","380.05","91.59K","-0.13%"
"03/17/2014","402.00","399.50","403.90","398.50","92.83K","0.63%"
"03/18/2014","402.40","404.00","407.50","399.00","69.61K","0.10%"
"03/19/2014","402.00","400.05","406.20","400.00","77.28K","-0.10%"
"03/20/2014","402.25","399.10","406.50","395.45","77.93K","0.06%"
"03/21/2014","403.30","405.00","409.60","402.10","292.04K","0.26%"
"03/24/2014","405.90","405.00","405.90","398.85","47.05K","0.64%"
"03/25/2014","418.50","407.00","418.50","406.55","61.20K","3.10%"
"03/26/2014","418.40","418.45","425.90","416.95","66.51K","-0.02%"
"03/27/2014","414.55","415.25","416.80","413.00","67.21K","-0.92%"
"03/28/2014","413.70","416.30","419.65","409.50","32.02K","-0.21%"
"03/31/2014","413.00","415.00","415.75","407.50","99.37K","-0.17%"
"04/01/2014","412.95","413.00","414.45","409.85","64.09K","-0.01%"
"04/02/2014","413.80","414.00","414.00","409.25","60.85K","0.21%"
"04/03/2014","410.35","413.50","415.50","408.50","72.47K","-0.83%"
"04/04/2014","412.00","411.95","412.80","408.05","88.73K","0.40%"
"04/07/2014","413.00","411.00","414.55","408.15","41.93K","0.24%"
"04/08/2014","411.45","413.85","413.85","407.50","59.32K","-0.38%"
"04/09/2014","407.10","412.95","413.80","402.65","92.35K","-1.06%"
"04/10/2014","406.40","410.00","410.90","403.60","60.86K","-0.17%"
"04/11/2014","400.95","404.80","404.80","391.20","52.25K","-1.34%"
"04/14/2014","387.55","398.60","399.85","384.00","58.40K","-3.34%"
"04/15/2014","385.00","387.80","391.45","382.00","73.62K","-0.66%"
"04/16/2014","378.00","385.00","389.45","377.75","92.06K","-1.82%"
"04/17/2014","385.00","380.20","391.00","379.50","89.14K","1.85%"
"04/22/2014","390.00","387.00","390.00","385.05","57.25K","1.30%"
"04/23/2014","394.00","390.95","398.50","387.05","44.85K","1.03%"
"04/24/2014","387.05","397.95","399.00","385.20","46.74K","-1.76%"
"04/25/2014","385.00","385.10","392.45","382.20","48.16K","-0.53%"
"04/28/2014","389.05","391.90","391.90","385.45","26.02K","1.05%"
"04/29/2014","371.00","381.40","381.75","370.30","36.06K","-4.64%"
"04/30/2014","371.50","377.35","378.00","371.50","61.96K","0.13%"
"05/02/2014","372.00","377.50","377.50","371.55","23.68K","0.13%"
"05/05/2014","367.95","372.20","374.00","365.95","13.05K","-1.09%"
"05/06/2014","362.00","371.00","373.50","359.50","56.35K","-1.62%"
"05/07/2014","359.10","360.00","367.50","355.00","156.49K","-0.80%"
"05/08/2014","366.10","360.95","372.00","360.35","90.45K","1.95%"
"05/09/2014","364.90","366.05","371.00","358.00","20.84K","-0.33%"
"05/12/2014","368.10","366.30","371.00","365.00","89.22K","0.88%"
"05/13/2014","362.00","372.00","372.00","359.00","75.91K","-1.66%"
"05/14/2014","364.30","360.10","365.05","360.10","44.48K","0.64%"
"05/15/2014","356.60","364.00","369.80","353.35","50.61K","-2.11%"
"05/16/2014","351.10","358.30","359.90","350.20","44.06K","-1.54%"
"05/19/2014","346.55","354.00","354.00","344.90","96.51K","-1.30%"
"05/20/2014","351.50","346.50","355.00","346.50","82.00K","1.43%"
"05/21/2014","366.00","353.55","371.95","351.00","69.56K","4.13%"
"05/22/2014","381.40","368.95","381.50","368.00","125.05K","4.21%"
"05/23/2014","382.95","381.70","385.75","377.05","63.26K","0.41%"
"05/26/2014","378.00","384.75","387.00","378.00","17.07K","-1.29%"
"05/27/2014","372.90","377.15","380.85","368.50","27.38K","-1.35%"
"05/28/2014","367.30","371.00","376.45","367.00","41.56K","-1.50%"
"05/29/2014","372.50","367.90","373.95","365.15","59.99K","1.42%"
"05/30/2014","366.00","374.50","374.50","365.00","138.49K","-1.74%"
"06/02/2014","371.00","368.05","371.00","366.15","51.79K","1.37%"
"06/03/2014","378.65","373.55","379.80","372.10","53.34K","2.06%"
"06/04/2014","384.00","377.10","384.60","375.45","65.20K","1.41%"
"06/05/2014","388.00","383.95","395.00","381.65","51.86K","1.04%"
"06/06/2014","398.00","392.00","399.55","391.75","67.40K","2.58%"
"06/09/2014","389.90","400.00","400.00","389.45","25.69K","-2.04%"
"06/10/2014","393.00","391.00","393.35","385.55","50.20K","0.80%"
"06/11/2014","383.00","393.00","393.00","380.10","70.53K","-2.54%"
"06/12/2014","376.00","385.80","385.80","373.80","73.32K","-1.83%"
"06/13/2014","374.55","376.60","378.70","371.35","38.95K","-0.39%"
"06/16/2014","370.00","371.40","373.50","362.85","95.02K","-1.21%"
"06/17/2014","373.20","372.75","379.75","370.75","72.85K","0.86%"
"06/18/2014","370.50","377.85","377.85","370.05","138.38K","-0.72%"
"06/20/2014","376.35","370.00","378.20","365.60","155.31K","1.58%"
"06/23/2014","368.75","377.50","377.80","367.15","97.45K","-2.02%"
"06/24/2014","369.95","371.85","371.85","366.20","62.97K","0.33%"
"06/25/2014","366.00","367.00","376.00","365.05","31.66K","-1.07%"
"06/26/2014","359.90","370.00","370.00","353.30","75.55K","-1.67%"
"06/27/2014","363.00","358.50","365.70","356.00","71.25K","0.86%"
"06/30/2014","369.00","366.00","372.00","364.00","45.23K","1.65%"
"07/01/2014","368.00","367.50","371.15","362.50","54.77K","-0.27%"
"07/02/2014","363.30","366.10","372.50","358.05","46.88K","-1.28%"
"07/03/2014","360.85","363.50","365.40","356.50","43.01K","-0.67%"
"07/04/2014","361.20","360.00","367.80","357.05","38.89K","0.10%"
"07/07/2014","367.00","361.30","368.70","361.30","39.49K","1.61%"
"07/08/2014","353.90","368.65","368.65","353.90","44.13K","-3.57%"
"07/09/2014","354.75","354.20","359.65","352.35","35.30K","0.24%"
"07/10/2014","349.55","357.95","358.00","347.05","83.90K","-1.47%"
"07/11/2014","348.00","350.05","359.25","348.00","84.09K","-0.44%"
"07/14/2014","355.35","350.00","355.35","349.20","36.08K","2.11%"
"07/15/2014","351.00","354.90","356.00","350.55","33.03K","-1.22%"
"07/16/2014","345.00","352.70","354.50","343.70","61.92K","-1.71%"
"07/17/2014","352.00","345.00","352.20","345.00","45.92K","2.03%"
"07/18/2014","355.00","348.00","355.00","348.00","43.88K","0.85%"
"07/21/2014","361.80","355.00","361.80","353.00","37.22K","1.92%"
"07/22/2014","365.50","361.80","365.90","361.80","42.08K","1.02%"
"07/23/2014","369.70","365.45","370.25","362.00","34.06K","1.15%"
"07/24/2014","371.50","371.00","371.95","366.65","34.96K","0.49%"
"07/25/2014","359.00","366.55","370.00","358.15","27.45K","-3.36%"
"07/28/2014","367.00","359.00","370.45","359.00","35.59K","2.23%"
"07/29/2014","359.00","367.05","367.90","358.45","35.57K","-2.18%"
