"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","118.60","118.80","119.40","117.90","329.84K","0.51%"
"01/03/2014","118.20","118.40","119.30","117.45","535.99K","-0.34%"
"01/07/2014","115.70","117.40","117.45","115.05","835.81K","-2.12%"
"01/08/2014","115.85","115.10","117.00","114.80","648.88K","0.13%"
"01/09/2014","112.20","115.85","116.10","111.45","1.25M","-3.15%"
"01/10/2014","111.60","112.30","112.50","111.20","1.02M","-0.53%"
"01/13/2014","114.10","112.30","114.45","111.75","960.82K","2.24%"
"01/14/2014","114.50","113.00","114.50","112.40","518.35K","0.35%"
"01/15/2014","113.75","114.50","114.50","113.20","763.24K","-0.66%"
"01/16/2014","113.80","114.00","115.20","112.80","565.84K","0.04%"
"01/17/2014","113.80","114.45","114.90","113.15","820.76K","0.00%"
"01/20/2014","113.50","114.50","114.50","112.65","541.59K","-0.26%"
"01/21/2014","113.70","114.15","114.75","113.30","463.55K","0.18%"
"01/22/2014","114.20","113.70","114.75","113.30","414.21K","0.44%"
"01/23/2014","113.50","113.70","115.60","113.35","586.70K","-0.61%"
"01/24/2014","110.00","113.50","114.10","110.00","1.19M","-3.08%"
"01/27/2014","110.00","109.20","111.00","107.70","979.75K","0.00%"
"01/28/2014","110.70","110.95","111.20","108.70","976.77K","0.64%"
"01/29/2014","109.30","112.00","112.00","108.25","925.12K","-1.26%"
"01/30/2014","109.00","108.00","109.00","104.60","1.36M","-0.27%"
"01/31/2014","109.50","108.90","109.60","106.00","1.17M","0.46%"
"02/03/2014","109.00","109.00","110.95","108.15","716.99K","-0.46%"
"02/04/2014","105.75","106.20","107.40","105.25","1.29M","-2.98%"
"02/05/2014","105.70","105.60","107.35","104.70","1.43M","-0.05%"
"02/06/2014","107.30","106.65","107.95","104.85","854.29K","1.51%"
"02/07/2014","106.80","108.00","108.20","106.35","794.53K","-0.47%"
"02/10/2014","104.00","107.00","107.20","103.90","993.99K","-2.62%"
"02/11/2014","104.00","104.95","104.95","101.40","933.83K","0.00%"
"02/12/2014","108.65","105.00","108.65","104.80","1.72M","4.47%"
"02/13/2014","110.15","108.80","110.15","107.95","908.98K","1.38%"
"02/14/2014","112.55","110.50","113.10","109.40","1.02M","2.18%"
"02/17/2014","115.70","113.20","116.45","113.05","1.30M","2.80%"
"02/18/2014","114.00","116.40","116.60","113.65","964.39K","-1.47%"
"02/19/2014","115.40","114.00","115.45","113.70","671.79K","1.23%"
"02/20/2014","115.00","113.60","115.00","113.30","1.24M","-0.35%"
"02/21/2014","115.00","115.15","116.30","114.70","550.21K","0.00%"
"02/24/2014","114.70","114.95","115.00","113.85","545.72K","-0.26%"
"02/25/2014","114.20","114.70","114.80","113.65","453.90K","-0.44%"
"02/26/2014","114.25","114.00","116.30","113.55","884.21K","0.04%"
"02/27/2014","113.30","114.45","115.35","112.45","1.05M","-0.83%"
"02/28/2014","116.90","113.65","117.45","113.50","1.27M","3.18%"
"03/03/2014","112.50","113.30","114.25","110.20","2.03M","-3.76%"
"03/04/2014","116.10","113.10","116.10","113.10","948.22K","3.20%"
"03/05/2014","120.60","116.10","120.60","115.90","2.57M","3.88%"
"03/06/2014","121.45","120.90","122.30","119.80","1.06M","0.70%"
"03/07/2014","116.00","121.00","121.05","115.80","2.28M","-4.49%"
"03/10/2014","109.60","114.15","114.15","109.35","2.08M","-5.52%"
"03/11/2014","104.50","111.00","111.35","104.50","2.04M","-4.65%"
"03/12/2014","102.90","105.00","105.70","101.05","2.45M","-1.53%"
"03/13/2014","102.05","103.55","104.10","102.05","1.20M","-0.83%"
"03/14/2014","101.50","101.10","101.50","98.70","1.39M","-0.54%"
"03/17/2014","104.85","101.80","104.85","101.25","909.31K","3.30%"
"03/18/2014","104.90","105.25","106.60","104.60","1.10M","0.05%"
"03/19/2014","100.50","104.20","104.60","98.80","1.69M","-4.19%"
"03/20/2014","99.90","101.05","102.50","99.66","1.31M","-0.60%"
"03/21/2014","100.45","101.40","102.05","99.92","1.45M","0.55%"
"03/24/2014","101.45","101.80","102.50","100.50","410.77K","1.00%"
"03/25/2014","105.40","102.80","106.65","102.70","1.00M","3.89%"
"03/26/2014","106.50","107.00","108.10","105.45","1.11M","1.04%"
"03/27/2014","104.90","106.50","107.10","104.90","672.10K","-1.50%"
"03/28/2014","107.00","106.00","107.55","105.90","803.04K","2.00%"
"03/31/2014","108.90","107.80","108.90","107.80","614.54K","1.78%"
"04/01/2014","108.85","109.00","109.10","107.85","472.05K","-0.05%"
"04/02/2014","109.05","109.00","109.20","107.80","1.03M","0.18%"
"04/03/2014","105.30","109.00","109.00","104.50","959.19K","-3.44%"
