"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","8,988","8,907","9,005","8,901","0.04K","-0.13%"
"01/03/2014","9,095","9,019","9,150","9,001","0.56K","1.19%"
"01/07/2014","8,820","9,100","9,100","8,820","0.86K","-3.02%"
"01/08/2014","8,765","8,880","8,880","8,350","0.44K","-0.62%"
"01/09/2014","8,500","8,661","8,661","8,500","0.29K","-3.02%"
"01/10/2014","8,500","8,500","8,550","8,420","0.13K","0.00%"
"01/13/2014","8,467","8,644","8,700","8,467","0.40K","-0.39%"
"01/14/2014","8,851","8,580","8,851","8,400","1.22K","4.53%"
"01/15/2014","8,765","8,888","8,888","8,760","0.15K","-0.97%"
"01/16/2014","8,710","8,770","8,840","8,700","0.07K","-0.63%"
"01/17/2014","8,800","8,703","8,849","8,703","0.10K","1.03%"
"01/20/2014","8,779","8,844","8,845","8,601","0.25K","-0.24%"
"01/21/2014","9,000","8,825","9,128","8,805","0.72K","2.52%"
"01/22/2014","9,190","9,128","9,190","9,010","1.26K","2.11%"
"01/23/2014","9,250","9,184","9,440","9,184","1.22K","0.65%"
"01/24/2014","9,080","9,212","9,212","9,055","1.65K","-1.84%"
"01/27/2014","8,940","9,000","9,000","8,900","0.20K","-1.54%"
"01/28/2014","8,913","8,900","9,002","8,900","0.62K","-0.30%"
"01/29/2014","8,820","9,000","9,000","8,820","0.47K","-1.04%"
"01/30/2014","8,750","8,820","8,902","8,750","0.55K","-0.79%"
"01/31/2014","8,800","8,500","8,944","8,471","2.60K","0.57%"
"02/03/2014","8,840","8,880","8,949","8,799","1.02K","0.45%"
"02/04/2014","8,805","8,800","8,840","8,650","1.38K","-0.40%"
"02/05/2014","8,847","8,717","8,847","8,700","0.61K","0.48%"
"02/06/2014","9,000","8,950","9,185","8,898","1.01K","1.73%"
"02/07/2014","9,200","9,000","9,200","8,991","0.59K","2.22%"
"02/10/2014","9,185","9,170","9,199","9,120","0.46K","-0.16%"
"02/11/2014","9,399","9,260","9,416","9,160","0.92K","2.32%"
"02/12/2014","9,259","9,399","9,450","9,255","0.54K","-1.48%"
"02/13/2014","9,400","9,330","9,409","9,182","0.67K","1.52%"
"02/14/2014","9,630","9,400","9,630","9,390","0.91K","2.45%"
"02/17/2014","9,770","9,601","9,897","9,601","0.24K","1.45%"
"02/18/2014","9,650","9,882","9,885","9,640","0.29K","-1.23%"
"02/19/2014","9,700","9,700","9,800","9,500","1.58K","0.52%"
"02/20/2014","9,701","9,700","9,778","9,525","0.44K","0.01%"
"02/21/2014","9,760","9,700","9,850","9,650","0.40K","0.61%"
"02/24/2014","9,980","9,760","9,980","9,760","0.60K","2.25%"
"02/25/2014","9,800","9,980","9,980","9,764","0.20K","-1.80%"
"02/26/2014","9,660","9,820","9,820","9,611","0.40K","-1.43%"
"02/27/2014","9,750","9,680","9,960","9,680","0.28K","0.93%"
"02/28/2014","10,000","9,890","10,000","9,800","1.18K","2.56%"
"03/03/2014","9,000","9,650","9,650","9,000","1.39K","-10.00%"
"03/04/2014","9,500","9,200","9,500","9,200","1.89K","5.55%"
"03/05/2014","9,140","9,560","9,640","9,100","0.95K","-3.79%"
"03/06/2014","9,300","9,175","9,390","9,165","0.46K","1.75%"
"03/07/2014","9,110","9,320","9,434","9,110","1.96K","-2.04%"
"03/10/2014","8,950","9,110","9,190","8,950","0.34K","-1.76%"
"03/11/2014","8,900","9,000","9,111","8,900","0.54K","-0.56%"
"03/12/2014","8,690","9,000","9,000","8,501","0.91K","-2.36%"
"03/13/2014","8,610","8,572","8,890","8,572","2.68K","-0.92%"
"03/14/2014","8,290","8,460","8,600","8,110","3.02K","-3.72%"
"03/17/2014","8,510","8,210","8,639","8,210","1.38K","2.65%"
"03/18/2014","8,501","8,633","8,640","8,400","1.68K","-0.11%"
"03/19/2014","8,500","8,550","8,590","8,420","1.34K","0.00%"
"03/20/2014","8,600","8,500","8,850","8,450","0.76K","1.18%"
"03/21/2014","8,500","8,700","8,700","8,352","15.82K","-1.16%"
"03/24/2014","8,759","8,677","8,759","8,610","0.92K","3.05%"
"03/25/2014","9,060","8,815","9,120","8,815","3.23K","3.43%"
"03/26/2014","8,990","9,060","9,170","8,980","0.94K","-0.77%"
"03/27/2014","9,000","8,969","9,110","8,808","1.21K","0.11%"
"03/28/2014","8,947","9,002","9,050","8,760","2.62K","-0.59%"
"03/31/2014","8,888","9,000","9,060","8,850","1.21K","-0.66%"
"04/01/2014","8,700","8,895","9,049","8,580","2.68K","-2.12%"
"04/02/2014","8,320","8,795","8,795","8,226","4.40K","-4.37%"
"04/03/2014","8,375","8,320","8,422","8,272","1.00K","0.66%"
"04/04/2014","8,700","8,375","8,730","8,375","1.57K","3.88%"
"04/07/2014","8,450","8,670","8,670","8,430","1.05K","-2.87%"
"04/08/2014","8,480","8,450","8,550","8,366","2.89K","0.36%"
"04/09/2014","8,530","8,600","8,625","8,444","0.35K","0.59%"
"04/10/2014","8,370","8,530","8,600","8,360","4.60K","-1.87%"
"04/11/2014","8,325","8,299","8,409","8,200","1.04K","-0.54%"
"04/14/2014","8,020","8,250","8,292","8,005","3.63K","-3.66%"
"04/15/2014","7,990","8,000","8,070","7,966","0.86K","-0.37%"
"04/16/2014","7,550","7,990","8,078","7,335","4.64K","-5.51%"
"04/17/2014","7,780","7,511","7,800","7,511","5.55K","3.05%"
"04/22/2014","7,975","7,840","8,095","7,820","0.53K","2.51%"
"04/23/2014","7,732","8,000","8,080","7,727","0.64K","-3.05%"
"04/24/2014","7,750","7,779","7,999","7,600","1.02K","0.23%"
"04/25/2014","7,901","7,899","7,901","7,660","0.69K","1.95%"
"04/28/2014","7,810","7,783","7,897","7,745","0.49K","-1.15%"
"04/29/2014","7,805","7,890","8,070","7,805","0.64K","-0.06%"
"04/30/2014","7,840","7,805","7,949","7,800","0.27K","0.45%"
"05/02/2014","7,650","7,935","7,935","7,650","0.20K","-2.42%"
"05/05/2014","7,300","7,600","7,600","7,230","0.59K","-4.58%"
"05/06/2014","7,371","7,330","7,390","7,300","0.99K","0.97%"
"05/07/2014","7,800","7,371","7,980","7,365","1.44K","5.82%"
"05/08/2014","7,800","7,980","7,980","7,700","0.79K","0.00%"
"05/09/2014","7,700","7,927","8,050","7,700","0.96K","-1.28%"
"05/12/2014","7,950","7,700","7,990","7,700","0.59K","3.25%"
"05/13/2014","7,900","8,015","8,053","7,650","1.00K","-0.63%"
"05/14/2014","8,021","7,852","8,047","7,827","0.91K","1.53%"
"05/15/2014","7,800","7,900","7,900","7,720","1.20K","-2.76%"
"05/16/2014","7,824","7,750","7,901","7,750","1.06K","0.30%"
"05/19/2014","7,880","7,890","7,925","7,855","0.59K","0.72%"
"05/20/2014","7,905","7,826","7,980","7,826","0.48K","0.32%"
"05/21/2014","7,910","7,905","7,960","7,905","2.50K","0.07%"
"05/22/2014","8,150","7,989","8,370","7,940","0.72K","3.03%"
"05/23/2014","8,360","8,201","8,489","8,201","1.10K","2.58%"
"05/26/2014","8,328","8,474","8,495","8,182","0.99K","-0.38%"
"05/27/2014","8,150","8,300","8,399","8,135","1.10K","-2.14%"
"05/28/2014","7,915","8,150","8,220","7,850","0.80K","-2.88%"
"05/29/2014","8,300","7,900","8,300","7,900","1.03K","4.86%"
"05/30/2014","8,350","8,280","8,350","8,090","0.70K","0.60%"
"06/02/2014","8,210","8,300","8,300","8,200","0.40K","-1.68%"
