"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","32.63","32.02","33.00","31.77","48.68K","2.55%"
"01/03/2014","32.40","32.55","32.95","32.37","44.52K","-0.70%"
"01/07/2014","31.42","32.31","32.31","31.42","152.77K","-3.02%"
"01/08/2014","31.11","31.33","31.59","30.52","167.05K","-0.99%"
"01/09/2014","31.06","31.11","31.45","30.85","124.93K","-0.16%"
"01/10/2014","30.97","31.15","31.29","30.97","126.54K","-0.29%"
"01/13/2014","31.86","31.31","31.86","31.30","108.86K","2.87%"
"01/14/2014","31.51","31.80","32.04","31.41","200.48K","-1.10%"
"01/15/2014","31.17","32.04","32.04","31.11","118.76K","-1.08%"
"01/16/2014","31.91","31.36","31.95","31.20","49.64K","2.37%"
"01/17/2014","31.86","32.04","32.12","31.74","118.97K","-0.16%"
"01/20/2014","31.77","31.82","31.86","31.42","47.79K","-0.28%"
"01/21/2014","31.86","31.86","32.13","31.86","282.94K","0.28%"
"01/22/2014","32.31","32.13","32.31","31.93","149.52K","1.41%"
"01/23/2014","32.22","32.31","32.57","31.95","183.75K","-0.28%"
"01/24/2014","32.47","31.88","32.47","31.86","159.34K","0.78%"
"01/27/2014","32.34","31.78","32.49","31.70","321.39K","-0.40%"
"01/28/2014","32.27","32.34","32.49","31.98","118.29K","-0.22%"
"01/29/2014","32.38","32.39","32.39","31.96","183.34K","0.34%"
"01/30/2014","32.26","31.95","32.36","31.95","94.26K","-0.37%"
"01/31/2014","31.70","32.39","32.53","31.70","313.96K","-1.74%"
"02/03/2014","32.54","31.81","32.56","31.81","81.53K","2.65%"
"02/04/2014","32.78","32.31","32.92","32.28","143.31K","0.74%"
"02/05/2014","33.03","32.78","33.22","32.78","155.22K","0.76%"
"02/06/2014","33.48","33.03","33.64","32.59","241.39K","1.36%"
"02/07/2014","34.15","33.66","34.15","33.39","189.76K","2.00%"
"02/10/2014","34.09","33.93","34.11","33.69","106.33K","-0.18%"
"02/11/2014","34.45","34.29","34.51","34.12","157.73K","1.06%"
"02/12/2014","34.83","34.65","34.83","34.60","84.65K","1.10%"
"02/13/2014","34.81","34.65","34.83","34.18","118.66K","-0.06%"
"02/14/2014","34.83","34.83","34.92","34.47","107.37K","0.06%"
"02/17/2014","34.47","34.92","35.09","34.25","128.29K","-1.03%"
"02/18/2014","34.03","34.65","35.10","33.70","112.68K","-1.28%"
"02/19/2014","34.92","34.03","34.96","33.59","69.84K","2.62%"
"02/20/2014","34.56","34.51","34.70","33.76","240.85K","-1.03%"
"02/21/2014","35.28","34.92","35.28","34.70","129.27K","2.08%"
"02/24/2014","35.81","35.37","35.86","35.19","209.96K","1.50%"
"02/25/2014","35.90","35.89","36.26","35.72","219.35K","0.25%"
"02/26/2014","35.25","36.22","36.22","34.97","204.78K","-1.81%"
"02/27/2014","35.72","35.45","35.79","34.25","222.82K","1.33%"
"02/28/2014","36.77","35.46","36.77","35.46","261.60K","2.94%"
"03/03/2014","35.19","35.02","36.16","34.83","319.59K","-4.30%"
"03/04/2014","35.65","35.19","36.07","34.88","316.02K","1.31%"
"03/05/2014","34.45","35.27","35.44","34.02","375.97K","-3.37%"
"03/06/2014","33.58","34.48","34.96","33.44","279.42K","-2.53%"
"03/07/2014","33.84","33.57","34.00","33.35","239.96K","0.77%"
"03/10/2014","33.48","33.70","34.11","33.22","174.52K","-1.06%"
"03/11/2014","33.64","33.47","33.65","32.71","296.40K","0.48%"
"03/12/2014","33.08","33.90","33.90","31.98","402.94K","-1.66%"
"03/13/2014","33.36","33.23","33.50","32.77","234.31K","0.85%"
"03/14/2014","33.02","32.63","33.02","32.36","250.40K","-1.02%"
