"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","9.78","9.80","9.94","9.70","1.25M","-0.20%"
"01/03/2014","9.83","9.80","9.89","9.75","1.03M","0.51%"
"01/07/2014","9.75","9.75","9.80","9.59","2.20M","-0.81%"
"01/08/2014","9.70","9.75","9.78","9.68","2.70M","-0.51%"
"01/09/2014","9.70","9.70","9.78","9.65","2.91M","0.00%"
"01/10/2014","9.78","9.70","9.78","9.65","2.49M","0.82%"
"01/13/2014","10.05","9.75","10.14","9.75","3.09M","2.76%"
"01/14/2014","10.02","10.01","10.06","9.91","4.04M","-0.30%"
"01/15/2014","10.02","10.05","10.05","9.96","2.75M","0.00%"
"01/16/2014","10.08","10.02","10.19","9.92","1.91M","0.60%"
"01/17/2014","10.12","10.08","10.13","9.85","2.06M","0.40%"
"01/20/2014","10.23","10.12","10.23","10.06","768.01K","1.09%"
"01/21/2014","10.39","10.27","10.59","10.14","2.03M","1.56%"
"01/22/2014","10.20","10.43","10.58","10.01","3.26M","-1.83%"
"01/23/2014","9.78","10.20","10.20","9.78","2.58M","-4.12%"
"01/24/2014","9.60","9.75","9.87","9.60","1.67M","-1.84%"
"01/27/2014","9.70","9.52","9.78","9.52","2.74M","1.04%"
"01/28/2014","10.25","9.75","10.29","9.74","4.78M","5.67%"
"01/29/2014","10.11","10.29","10.35","10.02","2.01M","-1.37%"
"01/30/2014","10.33","10.04","10.33","10.02","2.91M","2.18%"
"01/31/2014","10.50","10.33","10.64","10.21","5.11M","1.65%"
"02/03/2014","10.49","10.45","10.65","10.35","2.75M","-0.10%"
"02/04/2014","10.39","10.35","10.48","10.32","2.32M","-0.95%"
"02/05/2014","10.32","10.35","10.46","10.31","4.95M","-0.67%"
"02/06/2014","10.47","10.30","10.49","10.22","4.48M","1.45%"
"02/07/2014","10.75","10.38","10.84","10.30","6.84M","2.67%"
"02/10/2014","10.99","10.78","11.08","10.60","3.17M","2.23%"
"02/11/2014","11.30","11.01","11.59","11.00","7.18M","2.82%"
"02/12/2014","10.80","10.60","10.84","10.29","17.58M","-4.42%"
"02/13/2014","10.10","10.57","10.65","9.93","4.52M","-6.48%"
"02/14/2014","9.95","10.05","10.20","9.65","5.25M","-1.49%"
"02/17/2014","10.09","9.95","10.18","9.83","1.74M","1.41%"
"02/18/2014","10.30","10.17","10.38","10.08","1.83M","2.08%"
"02/19/2014","10.30","10.28","10.45","10.13","2.30M","0.00%"
"02/20/2014","10.33","10.24","10.42","10.15","2.41M","0.29%"
"02/21/2014","10.32","10.44","10.44","10.22","2.39M","-0.10%"
"02/24/2014","10.30","10.29","10.40","10.20","1.80M","-0.19%"
"02/25/2014","10.18","10.30","10.34","10.16","2.11M","-1.17%"
"02/26/2014","10.09","10.18","10.23","9.91","2.20M","-0.88%"
"02/27/2014","10.06","10.09","10.24","9.95","1.86M","-0.30%"
"02/28/2014","10.11","10.15","10.30","10.02","2.10M","0.50%"
"03/03/2014","10.00","9.91","10.18","9.85","4.37M","-1.09%"
"03/04/2014","10.06","10.00","10.21","9.96","3.11M","0.60%"
"03/05/2014","9.90","10.05","10.19","9.87","2.68M","-1.59%"
"03/06/2014","10.11","9.90","10.17","9.83","2.47M","2.12%"
"03/07/2014","10.18","10.12","10.31","10.05","5.60M","0.69%"
"03/10/2014","10.15","10.06","10.25","10.06","3.34M","-0.29%"
"03/11/2014","10.39","10.15","10.39","10.06","2.48M","2.36%"
"03/12/2014","10.25","10.33","10.53","10.25","2.88M","-1.35%"
"03/13/2014","10.52","10.26","10.54","10.20","5.74M","2.63%"
"03/14/2014","10.69","10.35","10.69","10.32","6.51M","1.62%"
"03/17/2014","10.69","10.62","10.69","10.44","2.01M","0.00%"
"03/18/2014","10.80","10.54","10.80","10.53","5.22M","1.03%"
"03/19/2014","10.51","10.80","10.94","10.40","2.71M","-2.69%"
"03/20/2014","10.75","10.50","10.79","10.36","4.33M","2.28%"
"03/21/2014","10.57","10.66","10.89","10.57","4.48M","-1.67%"
"03/24/2014","10.41","10.52","10.63","10.41","2.03M","-1.51%"
"03/25/2014","10.40","10.48","10.49","10.36","3.63M","-0.10%"
"03/26/2014","10.32","10.40","10.45","10.16","2.99M","-0.77%"
"03/27/2014","10.35","10.30","10.39","10.25","3.23M","0.29%"
"03/28/2014","10.30","10.37","10.43","10.22","1.93M","-0.48%"
"03/31/2014","10.35","10.39","10.42","10.27","2.27M","0.49%"
"04/01/2014","10.30","10.38","10.39","10.18","3.09M","-0.48%"
"04/02/2014","10.33","10.36","10.42","10.26","4.25M","0.29%"
"04/03/2014","10.20","10.28","10.32","10.14","1.49M","-1.26%"
"04/04/2014","10.19","10.18","10.24","10.00","1.69M","-0.10%"
"04/07/2014","10.50","10.17","10.54","10.15","3.46M","3.04%"
"04/08/2014","10.50","10.50","10.55","10.35","2.41M","0.00%"
"04/09/2014","10.50","10.45","10.50","10.32","1.98M","0.00%"
"04/10/2014","10.38","10.50","10.59","10.38","2.70M","-1.14%"
"04/11/2014","10.50","10.39","10.51","10.29","1.20M","1.16%"
"04/14/2014","10.60","10.50","10.60","10.37","1.77M","0.95%"
"04/15/2014","10.50","10.58","10.58","10.36","1.34M","-0.94%"
"04/16/2014","10.24","10.45","10.49","10.19","1.74M","-2.48%"
"04/17/2014","10.32","10.22","10.32","10.07","1.23M","0.78%"
"04/22/2014","10.20","10.32","10.35","10.18","852.75K","-1.16%"
"04/23/2014","10.06","10.26","10.30","10.06","1.68M","-1.37%"
"04/24/2014","10.15","10.09","10.15","10.03","1.93M","0.89%"
"04/25/2014","9.87","10.15","10.21","9.87","2.23M","-2.76%"
"04/28/2014","10.00","9.99","10.08","9.91","1.11M","1.32%"
"04/29/2014","9.93","9.99","10.18","9.93","1.54M","-0.70%"
"04/30/2014","10.34","10.06","10.40","9.96","3.38M","4.13%"
"05/02/2014","10.35","10.24","10.49","10.24","942.06K","0.10%"
"05/05/2014","10.24","10.30","10.41","10.23","987.38K","-1.06%"
"05/06/2014","10.38","10.25","10.39","10.25","836.75K","1.37%"
"05/07/2014","10.37","10.34","10.46","10.11","2.31M","-0.10%"
"05/08/2014","10.16","10.30","10.40","10.16","1.41M","-2.03%"
"05/09/2014","10.25","10.29","10.33","10.14","1.51M","0.89%"
"05/12/2014","10.30","10.25","10.45","10.20","952.45K","0.49%"
"05/13/2014","10.35","10.35","10.43","10.31","877.74K","0.49%"
"05/14/2014","10.27","10.34","10.38","10.21","1.32M","-0.77%"
"05/15/2014","10.23","10.30","10.38","10.18","1.34M","-0.39%"
"05/16/2014","10.44","10.26","10.44","10.19","1.55M","2.05%"
"05/19/2014","10.70","10.40","10.79","10.38","1.96M","2.49%"
"05/20/2014","10.68","10.68","10.77","10.49","1.26M","-0.19%"
"05/21/2014","10.55","10.69","10.75","10.50","1.91M","-1.22%"
"05/22/2014","10.50","10.60","10.68","10.35","3.22M","-0.47%"
"05/23/2014","10.40","10.54","10.57","10.36","1.82M","-0.95%"
"05/26/2014","10.33","10.47","10.48","10.26","1.37M","-0.67%"
"05/27/2014","10.35","10.31","10.39","10.20","1.53M","0.19%"
"05/28/2014","10.35","10.38","10.43","10.28","824.93K","0.00%"
"05/29/2014","10.45","10.31","10.45","10.31","580.59K","0.97%"
"05/30/2014","10.45","10.42","10.45","10.28","2.58M","0.00%"
"06/02/2014","10.50","10.45","10.51","10.37","1.16M","0.48%"
"06/03/2014","10.54","10.54","10.58","10.44","1.78M","0.38%"
"06/04/2014","10.48","10.45","10.60","10.43","2.15M","-0.57%"
"06/05/2014","10.57","10.58","10.67","10.49","1.55M","0.86%"
"06/06/2014","10.64","10.64","10.64","10.49","1.10M","0.66%"
"06/09/2014","10.57","10.66","10.68","10.52","879.49K","-0.66%"
"06/10/2014","10.57","10.57","10.67","10.54","1.75M","0.00%"
"06/11/2014","10.50","10.65","10.66","10.42","4.38M","-0.66%"
"06/12/2014","10.41","10.55","10.55","10.40","1.22M","-0.86%"
"06/13/2014","10.40","10.48","10.50","10.29","2.04M","-0.10%"
"06/16/2014","10.30","10.39","10.40","10.26","1.36M","-0.96%"
"06/17/2014","10.29","10.37","10.40","10.22","3.09M","-0.10%"
"06/18/2014","10.29","10.34","10.37","10.24","5.36M","0.00%"
"06/20/2014","10.35","10.35","10.50","10.29","7.07M","0.58%"
"06/23/2014","10.50","10.37","10.53","10.35","4.64M","1.45%"
"06/24/2014","9.97","10.09","10.10","9.95","2.67M","-5.05%"
"06/25/2014","9.80","9.95","9.99","9.61","3.02M","-1.71%"
"06/26/2014","9.79","9.90","9.90","9.63","1.11M","-0.10%"
"06/27/2014","9.70","9.70","9.80","9.65","1.42M","-0.92%"
"06/30/2014","9.70","9.80","9.83","9.31","3.40M","0.00%"
"07/01/2014","9.67","9.63","9.70","9.57","3.03M","-0.31%"
"07/02/2014","9.55","9.70","9.74","9.33","2.50M","-1.24%"
"07/03/2014","9.59","9.45","9.59","9.20","2.88M","0.42%"
"07/04/2014","9.37","9.60","9.60","9.37","1.52M","-2.29%"
"07/07/2014","9.40","9.33","9.55","9.24","1.21M","0.32%"
"07/08/2014","9.45","9.43","9.57","9.41","2.51M","0.53%"
"07/09/2014","9.32","9.53","9.53","9.28","839.17K","-1.38%"
"07/10/2014","9.45","9.50","9.50","9.29","3.52M","1.39%"
"07/11/2014","9.58","9.44","9.66","9.44","1.67M","1.38%"
"07/14/2014","9.65","9.67","9.67","9.46","2.27M","0.73%"
"07/15/2014","9.53","9.55","9.60","9.46","1.16M","-1.24%"
"07/16/2014","9.53","9.50","9.60","9.47","2.26M","0.00%"
"07/17/2014","9.50","9.55","9.58","9.42","2.98M","-0.31%"
"07/18/2014","9.55","9.43","9.60","9.43","826.56K","0.53%"
"07/21/2014","9.59","9.62","9.64","9.55","1.06M","0.42%"
"07/22/2014","9.46","9.54","9.65","9.46","972.06K","-1.36%"
"07/23/2014","9.63","9.53","9.66","9.49","1.83M","1.80%"
"07/24/2014","9.80","9.66","9.84","9.60","1.32M","1.77%"
"07/25/2014","9.91","9.82","10.04","9.82","5.50M","1.12%"
"07/28/2014","10.16","9.91","10.17","9.91","9.37M","2.52%"
"07/29/2014","10.11","10.13","10.16","10.07","3.03M","-0.49%"
"07/30/2014","9.96","10.05","10.06","9.79","1.48M","-1.48%"
"07/31/2014","10.30","9.97","10.30","9.78","2.66M","3.41%"
"08/01/2014","10.37","10.16","10.45","10.16","3.83M","0.68%"
"08/04/2014","10.25","10.36","10.40","10.19","2.10M","-1.16%"
"08/05/2014","10.07","10.21","10.30","9.95","2.01M","-1.76%"
"08/06/2014","10.20","9.95","10.27","9.91","6.51M","1.29%"
"08/07/2014","10.12","10.28","10.28","10.09","3.81M","-0.78%"
"08/08/2014","9.98","10.05","10.06","9.90","1.88M","-1.38%"
"08/11/2014","9.93","10.02","10.02","9.76","1.16M","-0.50%"
"08/12/2014","9.91","9.85","9.98","9.76","5.33M","-0.20%"
"08/13/2014","10.07","9.99","10.09","9.89","5.82M","1.61%"
"08/14/2014","10.15","10.14","10.15","10.02","4.75M","0.79%"
"08/18/2014","10.28","10.14","10.30","10.10","2.49M","1.28%"
"08/19/2014","10.43","10.30","10.44","10.01","3.37M","1.46%"
"08/20/2014","10.66","10.41","10.66","10.34","4.58M","2.21%"
"08/21/2014","10.88","10.66","10.93","10.66","3.89M","2.06%"
"08/22/2014","10.89","10.95","10.95","10.74","2.37M","0.09%"
"08/25/2014","10.94","10.94","10.94","10.81","1.44M","0.46%"
"08/26/2014","10.93","10.85","10.97","10.81","2.82M","-0.09%"
"08/27/2014","10.89","10.93","10.93","10.78","2.15M","-0.37%"
"08/28/2014","10.80","10.76","10.88","10.67","1.92M","-0.83%"
