"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","5.28","5.20","5.28","5.15","1.21M","2.52%"
"01/03/2014","5.17","5.28","5.28","5.17","1.93M","-2.08%"
"01/07/2014","4.93","5.12","5.14","4.91","4.63M","-4.64%"
"01/08/2014","4.89","4.93","4.94","4.80","3.63M","-0.81%"
"01/09/2014","4.99","4.85","5.06","4.81","3.62M","2.04%"
"01/10/2014","4.85","5.00","5.00","4.77","3.99M","-2.81%"
"01/13/2014","5.00","4.90","5.01","4.85","4.95M","3.09%"
"01/14/2014","4.96","4.97","4.99","4.92","2.07M","-0.80%"
"01/15/2014","5.06","4.98","5.06","4.98","2.60M","2.02%"
"01/16/2014","5.01","5.00","5.08","5.00","1.40M","-0.99%"
"01/17/2014","5.01","5.01","5.05","4.97","1.38M","0.00%"
"01/20/2014","4.91","4.90","4.95","4.83","2.54M","-2.00%"
"01/21/2014","5.05","4.91","5.05","4.91","4.28M","2.85%"
"01/22/2014","5.13","5.07","5.24","5.05","3.94M","1.58%"
"01/23/2014","4.86","5.11","5.15","4.86","5.85M","-5.26%"
"01/24/2014","4.73","4.90","4.94","4.71","6.51M","-2.67%"
"01/27/2014","4.77","4.72","4.84","4.58","7.37M","0.85%"
"01/28/2014","4.77","4.80","4.84","4.73","6.87M","0.00%"
"01/29/2014","4.61","4.77","4.85","4.60","5.61M","-3.35%"
"01/30/2014","4.57","4.62","4.66","4.47","6.89M","-0.87%"
"01/31/2014","4.63","4.59","4.66","4.49","5.87M","1.31%"
"02/03/2014","4.80","4.63","4.83","4.63","5.81M","3.67%"
"02/04/2014","4.69","4.74","4.74","4.66","5.75M","-2.29%"
"02/05/2014","4.88","4.65","4.97","4.65","14.16M","4.05%"
"02/06/2014","4.95","4.90","4.96","4.86","4.20M","1.43%"
"02/07/2014","4.99","4.95","4.99","4.92","2.04M","0.81%"
"02/10/2014","4.85","4.96","4.99","4.82","2.11M","-2.81%"
"02/11/2014","4.90","4.90","4.95","4.86","3.43M","1.03%"
"02/12/2014","5.03","4.93","5.12","4.86","7.25M","2.65%"
"02/13/2014","5.10","5.05","5.13","5.03","3.15M","1.39%"
"02/14/2014","5.01","5.12","5.15","5.01","2.49M","-1.76%"
"02/17/2014","5.01","5.03","5.07","4.98","718.81K","0.00%"
"02/18/2014","4.93","5.07","5.07","4.89","2.45M","-1.60%"
"02/19/2014","5.00","4.94","5.02","4.89","1.97M","1.42%"
"02/20/2014","5.04","4.95","5.10","4.90","5.25M","0.80%"
"02/21/2014","5.04","5.07","5.10","5.03","2.35M","0.00%"
"02/24/2014","5.20","5.01","5.20","5.01","3.57M","3.17%"
"02/25/2014","5.12","5.20","5.24","5.12","2.66M","-1.54%"
"02/26/2014","5.06","5.17","5.17","5.01","3.97M","-1.17%"
"02/27/2014","4.98","5.01","5.08","4.98","2.37M","-1.58%"
"02/28/2014","5.10","4.99","5.13","4.99","3.63M","2.41%"
"03/03/2014","4.61","4.86","4.87","4.52","12.40M","-9.61%"
"03/04/2014","4.78","4.75","4.85","4.71","6.35M","3.69%"
"03/05/2014","4.56","4.55","4.65","4.48","18.25M","-4.60%"
"03/06/2014","4.63","4.58","4.68","4.56","3.09M","1.54%"
"03/07/2014","4.61","4.61","4.63","4.53","5.86M","-0.43%"
"03/10/2014","4.50","4.58","4.62","4.50","5.44M","-2.39%"
"03/11/2014","4.35","4.55","4.58","4.27","5.69M","-3.33%"
"03/12/2014","4.29","4.37","4.44","4.25","5.57M","-1.38%"
"03/13/2014","4.41","4.32","4.45","4.26","8.74M","2.80%"
"03/14/2014","4.31","4.35","4.37","4.28","4.58M","-2.27%"
"03/17/2014","4.49","4.31","4.49","4.31","3.08M","4.18%"
"03/18/2014","4.48","4.53","4.56","4.45","5.29M","-0.22%"
"03/19/2014","4.38","4.52","4.52","4.36","1.95M","-2.23%"
"03/20/2014","4.34","4.33","4.38","4.26","6.85M","-0.91%"
"03/21/2014","4.22","4.38","4.38","4.20","10.52M","-2.76%"
"03/24/2014","4.17","4.23","4.27","4.10","2.69M","-1.18%"
"03/25/2014","4.22","4.16","4.28","4.11","5.04M","1.20%"
"03/26/2014","4.33","4.26","4.34","4.26","3.77M","2.61%"
"03/27/2014","4.30","4.33","4.40","4.30","3.26M","-0.69%"
"03/28/2014","4.30","4.34","4.37","4.25","3.35M","0.00%"
"03/31/2014","4.44","4.36","4.44","4.35","3.24M","3.26%"
"04/01/2014","4.44","4.46","4.48","4.40","1.88M","0.00%"
"04/02/2014","4.54","4.46","4.54","4.45","3.56M","2.25%"
"04/03/2014","4.41","4.55","4.55","4.39","4.26M","-2.86%"
"04/04/2014","4.38","4.40","4.41","4.33","3.73M","-0.68%"
"04/07/2014","4.29","4.34","4.38","4.25","3.13M","-2.05%"
"04/08/2014","4.29","4.30","4.34","4.25","4.38M","0.00%"
"04/09/2014","4.34","4.32","4.39","4.28","18.57M","1.17%"
"04/10/2014","4.39","4.37","4.42","4.35","9.47M","1.15%"
"04/11/2014","4.36","4.36","4.41","4.33","6.05M","-0.68%"
"04/14/2014","4.30","4.34","4.34","4.26","3.54M","-1.38%"
"04/15/2014","4.23","4.31","4.34","4.23","3.57M","-1.63%"
"04/16/2014","4.19","4.25","4.27","4.18","3.60M","-0.95%"
"04/17/2014","4.24","4.23","4.24","4.15","2.77M","1.19%"
"04/22/2014","4.33","4.23","4.33","4.21","2.34M","2.12%"
"04/23/2014","4.39","4.34","4.39","4.34","3.58M","1.39%"
"04/24/2014","4.50","4.38","4.58","4.37","17.39M","2.51%"
"04/25/2014","4.48","4.48","4.54","4.45","4.65M","-0.44%"
"04/28/2014","4.71","4.47","4.73","4.47","9.59M","5.13%"
"04/29/2014","4.65","4.71","4.82","4.65","6.93M","-1.27%"
"04/30/2014","4.71","4.70","4.74","4.67","5.20M","1.29%"
"05/02/2014","4.65","4.70","4.72","4.59","2.20M","-1.27%"
"05/05/2014","4.69","4.66","4.71","4.63","5.21M","0.86%"
"05/06/2014","4.80","4.70","4.82","4.69","3.60M","2.35%"
"05/07/2014","4.83","4.77","4.84","4.74","4.09M","0.62%"
"05/08/2014","4.79","4.84","4.87","4.71","2.66M","-0.83%"
"05/09/2014","4.82","4.81","4.86","4.78","5.40M","0.63%"
"05/12/2014","4.88","4.82","4.88","4.78","2.47M","1.24%"
"05/13/2014","4.91","4.88","4.92","4.84","3.43M","0.61%"
"05/14/2014","4.85","4.90","4.91","4.84","2.96M","-1.22%"
"05/15/2014","4.72","4.83","4.89","4.66","4.40M","-2.68%"
