"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","43.15","41.65","43.41","41.20","824.45K","5.24%"
"01/03/2014","42.52","43.00","43.18","42.50","605.14K","-1.46%"
"01/07/2014","42.10","42.00","42.60","41.65","1.40M","-0.99%"
"01/08/2014","42.00","42.10","42.44","41.81","1.15M","-0.24%"
"01/09/2014","41.40","41.55","42.17","41.37","1.39M","-1.43%"
"01/10/2014","42.20","41.20","42.20","40.53","1.88M","1.93%"
"01/13/2014","42.55","42.26","43.09","42.26","575.38K","0.83%"
"01/14/2014","42.27","42.55","43.06","42.27","1.39M","-0.66%"
"01/15/2014","42.20","42.99","43.05","42.20","919.80K","-0.17%"
"01/16/2014","42.57","42.60","42.95","42.07","391.45K","0.88%"
"01/17/2014","42.10","42.53","42.65","41.62","757.91K","-1.10%"
"01/20/2014","40.98","41.80","42.16","40.66","1.12M","-2.66%"
"01/21/2014","40.95","41.19","41.80","40.95","577.31K","-0.07%"
"01/22/2014","40.46","41.49","41.49","40.10","2.14M","-1.20%"
"01/23/2014","40.00","40.49","41.19","39.44","1.21M","-1.14%"
"01/24/2014","38.98","40.05","40.53","38.98","1.21M","-2.55%"
"01/27/2014","37.98","38.50","39.55","37.98","1.80M","-2.57%"
"01/28/2014","38.50","38.50","38.89","38.02","1.33M","1.37%"
"01/29/2014","38.20","38.88","39.00","38.10","1.51M","-0.78%"
"01/30/2014","38.60","38.20","38.67","37.50","1.05M","1.05%"
"01/31/2014","38.79","38.70","39.39","37.90","1.41M","0.49%"
"02/03/2014","38.80","38.89","39.45","38.55","901.55K","0.03%"
"02/04/2014","38.45","38.52","39.18","38.24","744.23K","-0.90%"
"02/05/2014","37.90","38.20","38.50","37.90","1.17M","-1.43%"
"02/06/2014","39.79","38.00","39.80","37.92","1.75M","4.99%"
"02/07/2014","40.81","39.79","40.81","39.35","1.45M","2.56%"
"02/10/2014","41.25","40.76","41.70","40.40","788.26K","1.08%"
"02/11/2014","42.20","41.35","42.31","41.08","1.07M","2.30%"
"02/12/2014","41.91","42.36","42.47","41.77","970.10K","-0.69%"
"02/13/2014","41.44","41.91","41.94","41.16","499.78K","-1.12%"
