"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","39.55","39.90","40.14","39.07","1.43M","0.33%"
"01/03/2014","38.94","39.45","39.45","38.85","1.75M","-1.54%"
"01/07/2014","38.35","38.68","38.83","38.02","3.65M","-1.52%"
"01/08/2014","38.40","38.49","38.68","38.21","4.70M","0.13%"
"01/09/2014","37.99","38.60","39.10","37.99","7.34M","-1.07%"
"01/10/2014","38.31","38.10","38.31","37.62","16.89M","0.84%"
"01/13/2014","38.65","38.39","39.10","38.39","2.31M","0.89%"
"01/14/2014","39.65","38.50","39.90","38.46","3.95M","2.59%"
"01/15/2014","40.80","39.94","40.91","39.81","4.19M","2.90%"
"01/16/2014","40.77","40.37","40.99","40.35","2.66M","-0.07%"
"01/17/2014","40.16","40.34","40.98","40.16","2.71M","-1.50%"
"01/20/2014","40.99","40.00","41.00","39.95","1.94M","2.07%"
"01/21/2014","41.39","40.90","41.60","40.82","3.44M","0.98%"
"01/22/2014","41.90","41.40","41.90","41.35","5.82M","1.23%"
"01/23/2014","42.00","41.70","42.68","41.66","11.05M","0.24%"
"01/24/2014","40.50","41.90","42.17","40.50","4.51M","-3.57%"
"01/27/2014","40.10","40.02","40.75","40.00","4.38M","-0.99%"
"01/28/2014","40.65","40.18","40.98","40.18","4.87M","1.37%"
"01/29/2014","40.15","41.00","41.65","39.71","6.85M","-1.23%"
"01/30/2014","40.40","39.81","40.50","39.33","3.32M","0.62%"
"01/31/2014","40.80","40.46","41.00","40.02","4.93M","0.99%"
"02/03/2014","40.60","40.80","41.48","40.55","2.55M","-0.49%"
"02/04/2014","40.55","40.44","41.12","40.25","2.72M","-0.12%"
"02/05/2014","41.00","40.45","41.35","40.45","2.70M","1.11%"
"02/06/2014","41.97","41.28","42.04","41.05","6.99M","2.37%"
"02/07/2014","42.00","41.95","42.38","41.71","5.35M","0.07%"
"02/10/2014","41.63","42.01","42.45","41.61","2.14M","-0.88%"
"02/11/2014","42.35","41.63","42.45","41.63","2.25M","1.73%"
"02/12/2014","43.24","42.44","43.49","42.26","5.69M","2.10%"
"02/13/2014","43.30","43.09","43.44","42.81","2.52M","0.14%"
"02/14/2014","43.29","43.12","43.44","42.91","982.25K","-0.02%"
"02/17/2014","43.19","43.10","43.45","42.90","1.04M","-0.23%"
"02/18/2014","42.91","43.45","43.45","42.90","2.07M","-0.65%"
"02/19/2014","43.00","42.60","43.37","42.50","2.50M","0.21%"
"02/20/2014","42.61","42.50","42.98","42.50","2.65M","-0.91%"
"02/21/2014","43.15","43.00","43.22","42.85","3.29M","1.27%"
"02/24/2014","43.74","42.86","43.74","42.86","2.76M","1.37%"
"02/25/2014","43.80","43.70","44.08","43.60","3.74M","0.14%"
"02/26/2014","44.00","43.80","44.40","43.75","5.74M","0.46%"
"02/27/2014","43.71","43.90","44.30","43.38","3.68M","-0.66%"
"02/28/2014","44.15","43.72","44.48","43.62","3.34M","1.01%"
"03/03/2014","42.10","43.00","43.39","42.10","6.64M","-4.64%"
"03/04/2014","43.00","42.22","43.45","42.22","4.37M","2.14%"
"03/05/2014","42.75","43.00","43.15","42.68","5.56M","-0.58%"
"03/06/2014","43.00","42.78","43.24","42.67","3.10M","0.58%"
"03/07/2014","42.50","43.00","43.36","42.40","2.31M","-1.16%"
"03/10/2014","42.00","42.20","42.93","42.00","2.75M","-1.18%"
"03/11/2014","41.60","42.25","42.61","41.52","2.90M","-0.95%"
"03/12/2014","41.39","41.50","41.94","41.03","2.70M","-0.50%"
"03/13/2014","40.40","41.41","41.87","40.35","2.13M","-2.39%"
"03/14/2014","40.20","40.06","40.27","39.52","3.70M","-0.50%"
"03/17/2014","40.80","40.41","41.09","40.33","3.67M","1.49%"
