"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","45.69","45.74","45.88","45.21","519.05K","1.76%"
"01/03/2014","44.95","45.20","45.57","44.83","633.88K","-1.62%"
"01/07/2014","44.10","45.05","45.05","44.01","1.87M","-1.89%"
"01/08/2014","44.39","44.10","44.55","43.60","2.04M","0.66%"
"01/09/2014","43.30","44.10","44.76","43.30","1.94M","-2.46%"
"01/10/2014","42.60","43.30","43.49","42.35","1.98M","-1.62%"
"01/13/2014","43.10","43.15","43.72","42.75","1.92M","1.17%"
"01/14/2014","42.99","43.01","43.36","42.80","1.97M","-0.26%"
"01/15/2014","43.15","43.25","43.70","43.00","2.41M","0.37%"
"01/16/2014","43.97","43.25","44.22","43.02","1.67M","1.90%"
"01/17/2014","42.82","43.95","43.95","42.82","3.01M","-2.62%"
"01/20/2014","42.62","42.82","42.92","42.42","977.03K","-0.47%"
"01/21/2014","43.37","42.72","43.70","42.60","2.01M","1.76%"
"01/22/2014","43.60","43.50","43.85","43.12","1.84M","0.53%"
"01/23/2014","43.00","43.55","43.55","42.84","3.62M","-1.38%"
"01/24/2014","42.30","42.80","42.96","42.30","1.88M","-1.63%"
"01/27/2014","41.73","42.00","42.85","41.42","2.58M","-1.35%"
"01/28/2014","41.56","41.81","42.20","41.36","2.51M","-0.41%"
"01/29/2014","41.36","41.78","42.35","41.00","2.16M","-0.48%"
"01/30/2014","41.50","41.00","41.96","40.61","3.19M","0.34%"
"01/31/2014","41.25","41.50","41.67","41.02","4.72M","-0.60%"
"02/03/2014","42.30","41.50","42.50","41.45","2.69M","2.55%"
"02/04/2014","42.30","41.90","42.48","41.61","1.84M","0.00%"
"02/05/2014","41.70","41.98","42.23","41.63","1.79M","-1.42%"
"02/06/2014","43.50","41.99","43.50","41.86","3.04M","4.32%"
"02/07/2014","44.00","43.44","44.00","43.30","2.43M","1.15%"
"02/10/2014","43.92","43.70","44.10","43.43","1.34M","-0.18%"
"02/11/2014","43.97","43.92","44.45","43.72","1.66M","0.11%"
"02/12/2014","44.70","44.20","44.73","44.00","1.71M","1.66%"
"02/13/2014","44.55","44.51","44.55","44.10","941.26K","-0.34%"
"02/14/2014","44.36","44.65","44.75","44.06","900.00K","-0.43%"
"02/17/2014","44.16","44.50","44.60","44.16","470.46K","-0.45%"
"02/18/2014","44.15","44.38","44.38","43.80","1.54M","-0.02%"
"02/19/2014","43.84","44.10","44.12","43.30","1.38M","-0.70%"
"02/20/2014","43.00","43.44","43.55","42.85","2.64M","-1.92%"
"02/21/2014","43.02","43.20","43.69","43.02","1.14M","0.05%"
"02/24/2014","43.90","43.02","43.90","43.02","1.26M","2.05%"
"02/25/2014","43.10","43.93","43.96","43.01","1.59M","-1.82%"
"02/26/2014","42.91","43.22","43.49","42.61","2.45M","-0.44%"
"02/27/2014","42.80","43.00","43.19","42.37","972.86K","-0.26%"
"02/28/2014","44.09","43.30","44.09","43.08","1.88M","3.01%"
"03/03/2014","42.23","42.51","43.50","42.22","3.08M","-4.22%"
"03/04/2014","42.86","42.81","43.88","42.53","2.53M","1.49%"
"03/05/2014","42.91","43.29","43.60","42.60","2.14M","0.12%"
"03/06/2014","43.38","43.11","43.43","43.04","1.12M","1.10%"
"03/07/2014","42.85","43.38","43.40","42.76","722.66K","-1.22%"
"03/10/2014","42.75","42.87","43.16","42.60","1.27M","-0.23%"
"03/11/2014","43.17","42.80","43.60","42.68","1.24M","0.98%"
"03/12/2014","42.03","42.74","42.99","41.05","5.33M","-2.64%"
"03/13/2014","40.90","42.02","42.03","40.90","1.64M","-2.69%"
"03/14/2014","41.50","40.60","41.50","40.48","2.04M","1.47%"
"03/17/2014","42.45","41.20","42.45","41.20","903.83K","2.29%"
"03/18/2014","41.70","42.39","42.79","41.51","1.96M","-1.77%"
"03/19/2014","40.90","41.99","42.00","40.90","1.35M","-1.92%"
"03/20/2014","41.36","40.82","41.60","40.72","1.63M","1.12%"
"03/21/2014","40.93","41.69","41.69","40.93","3.13M","-1.04%"
"03/24/2014","40.95","41.45","41.45","40.81","676.26K","0.05%"
"03/25/2014","41.37","41.00","41.60","41.00","976.79K","1.03%"
"03/26/2014","41.81","41.50","42.40","41.50","2.20M","1.06%"
"03/27/2014","41.98","41.98","42.50","41.80","1.43M","0.41%"
"03/28/2014","42.40","42.10","42.48","42.10","1.50M","1.00%"
"03/31/2014","42.95","42.50","42.95","42.50","1.59M","1.30%"
"04/01/2014","43.30","42.98","43.30","42.73","875.24K","0.81%"
"04/02/2014","43.10","43.35","43.40","43.01","1.37M","-0.46%"
"04/03/2014","42.85","43.30","43.45","42.55","1.37M","-0.58%"
"04/04/2014","43.30","42.84","43.43","42.60","750.47K","1.05%"
"04/07/2014","43.00","42.86","43.35","42.81","1.06M","-0.69%"
"04/08/2014","42.85","43.22","43.27","42.53","1.71M","-0.35%"
"04/09/2014","42.69","43.00","43.04","42.61","1.30M","-0.37%"
"04/10/2014","42.83","42.97","43.17","42.66","1.22M","0.33%"
"04/11/2014","42.70","42.49","42.78","42.20","1.43M","-0.30%"
"04/14/2014","42.45","42.50","42.60","42.16","910.15K","-0.59%"
"04/15/2014","41.60","42.26","42.59","41.60","1.59M","-2.00%"
"04/16/2014","41.47","42.20","42.20","41.46","733.70K","-0.31%"
"04/17/2014","42.95","41.95","42.95","41.90","1.67M","3.57%"
"04/22/2014","43.45","42.95","43.45","42.90","716.21K","1.16%"
"04/23/2014","43.06","43.48","43.48","42.81","873.08K","-0.90%"
"04/24/2014","42.80","43.06","43.35","42.75","646.89K","-0.60%"
"04/25/2014","42.83","42.60","42.99","42.51","1.06M","0.07%"
"04/28/2014","43.13","42.98","43.17","42.65","866.43K","0.70%"
"04/29/2014","43.69","43.20","43.69","43.16","1.56M","1.30%"
"04/30/2014","42.92","43.73","43.73","42.92","1.21M","-1.76%"
"05/02/2014","42.60","42.92","42.92","42.30","674.79K","-0.75%"
"05/05/2014","42.80","42.62","42.88","42.62","308.94K","0.47%"
"05/06/2014","42.83","42.80","43.33","42.72","796.82K","0.07%"
"05/07/2014","42.90","42.80","42.98","42.53","1.08M","0.16%"
"05/08/2014","42.80","43.23","43.28","42.36","1.36M","-0.23%"
"05/09/2014","42.59","42.80","42.97","42.54","835.00K","-0.49%"
"05/12/2014","42.95","42.77","42.95","42.48","806.50K","0.85%"
"05/13/2014","42.30","43.00","43.09","42.30","2.09M","-1.51%"
"05/14/2014","43.33","42.88","43.39","42.55","2.61M","2.43%"
"05/15/2014","43.28","43.33","43.63","42.85","1.90M","-0.12%"
"05/16/2014","43.90","43.29","43.90","42.91","1.34M","1.43%"
"05/19/2014","43.60","43.87","43.98","43.26","1.60M","-0.68%"
"05/20/2014","43.82","43.70","43.89","43.42","2.27M","0.50%"
"05/21/2014","43.70","43.85","43.88","43.52","789.08K","-0.27%"
"05/22/2014","44.80","43.89","45.00","43.81","3.34M","2.52%"
"05/23/2014","44.59","45.00","45.18","44.43","1.43M","-0.47%"
"05/26/2014","44.75","44.80","45.09","44.58","687.26K","0.36%"
"05/27/2014","44.90","44.62","44.98","44.52","1.28M","0.34%"
"05/28/2014","44.60","44.80","45.05","44.52","766.03K","-0.67%"
"05/29/2014","44.99","44.48","44.99","44.12","944.52K","0.87%"
"05/30/2014","44.64","44.80","44.99","44.60","2.09M","-0.78%"
"06/02/2014","45.00","44.80","45.00","44.42","1.24M","0.81%"
"06/03/2014","45.03","44.99","45.45","44.71","1.76M","0.07%"
"06/04/2014","44.98","44.85","45.01","44.28","1.21M","-0.11%"
"06/05/2014","45.10","45.20","45.27","44.62","1.42M","0.27%"
"06/06/2014","46.17","45.23","46.17","45.10","2.59M","2.37%"
"06/09/2014","45.40","45.98","46.10","45.40","1.21M","-1.67%"
"06/10/2014","45.86","45.51","46.11","45.41","2.06M","1.01%"
"06/11/2014","45.50","45.75","46.00","45.23","2.13M","-0.78%"
"06/12/2014","46.23","45.20","46.23","45.20","1.48M","1.60%"
"06/13/2014","45.78","46.15","46.23","45.43","808.32K","-0.97%"
"06/16/2014","45.05","45.40","45.48","44.73","3.48M","-1.59%"
"06/17/2014","45.26","45.12","45.70","45.05","1.26M","0.47%"
"06/18/2014","45.40","45.35","45.59","45.30","1.86M","0.31%"
"06/20/2014","44.97","45.59","45.59","44.97","2.74M","-0.95%"
"06/23/2014","45.59","45.00","45.59","44.89","2.31M","1.38%"
"06/24/2014","45.30","45.59","45.77","45.24","862.03K","-0.64%"
"06/25/2014","44.40","45.40","45.40","44.31","2.64M","-1.99%"
"06/26/2014","43.56","44.93","44.93","43.56","1.82M","-1.89%"
"06/27/2014","44.50","43.61","44.54","43.56","1.43M","2.16%"
"06/30/2014","44.38","44.30","44.44","43.84","1.77M","-0.27%"
"07/01/2014","43.70","43.98","44.20","43.70","1.32M","-1.53%"
"07/02/2014","43.50","43.79","44.05","43.50","1.42M","-0.46%"
"07/03/2014","43.49","43.60","43.98","43.42","997.81K","-0.02%"
"07/04/2014","43.05","43.50","43.59","43.05","1.27M","-1.01%"
"07/07/2014","42.95","43.20","43.32","42.95","1.40M","-0.23%"
"07/08/2014","42.89","43.20","43.22","42.85","1.48M","-0.14%"
"07/09/2014","43.05","42.89","43.10","42.89","893.37K","0.37%"
"07/10/2014","43.10","43.05","43.13","42.35","2.38M","0.12%"
"07/11/2014","43.12","43.09","43.29","42.82","4.88M","0.05%"
"07/14/2014","43.04","43.26","43.45","43.02","878.19K","-0.19%"
"07/15/2014","43.65","43.25","43.74","43.05","1.65M","1.42%"
"07/16/2014","43.91","43.70","44.20","43.66","1.83M","0.60%"
"07/17/2014","43.99","44.00","44.08","43.55","843.14K","0.18%"
"07/18/2014","43.75","43.61","43.98","43.61","833.15K","-0.55%"
"07/21/2014","43.75","43.98","43.98","43.33","1.09M","0.00%"
"07/22/2014","44.50","43.71","44.50","43.52","1.02M","1.71%"
"07/23/2014","44.48","44.50","44.50","44.16","804.35K","-0.04%"
"07/24/2014","45.04","44.45","45.04","44.30","910.00K","1.26%"
"07/25/2014","45.19","44.76","45.19","44.76","706.26K","0.33%"
"07/28/2014","45.25","45.19","45.40","45.00","862.68K","0.13%"
"07/29/2014","45.05","45.10","45.30","44.81","1.20M","-0.44%"
"07/30/2014","44.00","44.80","45.05","44.00","1.52M","-2.33%"
"07/31/2014","44.00","44.30","44.70","43.91","1.72M","0.00%"
"08/01/2014","44.20","44.00","44.40","43.67","2.38M","0.45%"
"08/04/2014","44.70","44.40","44.90","44.40","2.11M","1.13%"
"08/05/2014","44.84","44.84","44.97","44.60","1.72M","0.31%"
"08/06/2014","44.84","44.78","45.01","44.69","1.39M","0.00%"
"08/07/2014","44.64","44.88","44.90","44.31","1.39M","-0.45%"
"08/08/2014","44.35","44.41","44.59","44.24","1.38M","-0.65%"
"08/11/2014","45.21","44.68","45.21","44.40","2.15M","1.94%"
"08/12/2014","45.60","44.96","45.60","44.96","1.44M","0.86%"
"08/13/2014","46.10","45.80","46.24","45.69","1.76M","1.10%"
"08/14/2014","46.40","46.10","46.40","46.00","1.13M","0.65%"
"08/18/2014","47.30","46.38","47.49","46.23","1.69M","1.94%"
"08/19/2014","46.90","47.30","47.30","46.70","1.68M","-0.85%"
"08/20/2014","47.00","46.80","47.32","46.80","1.29M","0.21%"
"08/21/2014","47.25","46.91","47.37","46.91","816.76K","0.53%"
"08/22/2014","47.05","47.25","47.28","47.05","820.55K","-0.42%"
"08/25/2014","47.16","47.30","47.33","47.16","467.92K","0.23%"
"08/26/2014","47.30","47.15","47.44","47.10","1.15M","0.30%"
"08/27/2014","47.47","47.50","47.85","47.17","2.12M","0.36%"
"08/28/2014","47.18","47.25","47.68","46.55","1.60M","-0.61%"
"08/29/2014","46.90","47.01","47.20","46.80","2.22M","-0.59%"
"09/01/2014","47.40","47.03","47.78","47.03","1.08M","1.07%"
"09/02/2014","47.99","47.59","48.00","47.59","1.32M","1.24%"
"09/03/2014","49.34","47.80","49.34","47.80","2.90M","2.81%"
"09/04/2014","49.57","49.32","49.90","48.90","1.75M","0.47%"
"09/05/2014","49.30","49.60","49.70","49.12","1.17M","-0.54%"
"09/08/2014","49.90","49.30","50.14","49.30","1.48M","1.22%"
"09/09/2014","50.10","49.90","50.48","49.78","2.36M","0.40%"
"09/10/2014","50.45","49.85","50.45","49.81","3.10M","0.70%"
"09/11/2014","50.19","50.30","50.60","50.00","1.61M","-0.52%"
"09/12/2014","50.30","50.49","50.68","50.30","2.15M","0.22%"
"09/15/2014","47.30","47.14","47.30","46.62","2.21M","-5.96%"
"09/16/2014","46.91","47.30","47.34","46.82","1.75M","-0.82%"
"09/17/2014","47.06","47.24","47.24","46.90","2.06M","0.32%"
"09/18/2014","46.02","46.90","46.96","46.02","2.03M","-2.21%"
"09/19/2014","47.59","46.11","47.59","46.11","4.11M","3.41%"
"09/22/2014","47.60","47.31","47.95","47.31","1.20M","0.02%"
"09/23/2014","47.10","47.60","48.12","46.98","1.55M","-1.05%"
"09/24/2014","47.26","47.22","47.75","47.20","984.98K","0.34%"
"09/25/2014","48.40","47.50","48.99","47.40","3.15M","2.41%"
"09/26/2014","48.47","48.40","48.69","47.88","1.68M","0.14%"
"09/29/2014","47.80","48.50","49.10","47.52","1.62M","-1.38%"
"09/30/2014","48.15","48.20","48.57","47.63","2.10M","0.73%"
"10/01/2014","46.55","48.20","48.40","46.55","1.16M","-3.32%"
"10/02/2014","46.09","46.60","47.05","46.09","1.13M","-0.99%"
"10/03/2014","47.01","46.52","47.16","46.49","755.94K","2.00%"
"10/06/2014","47.24","47.40","48.13","47.24","744.83K","0.49%"
"10/07/2014","47.17","47.30","47.63","46.62","800.17K","-0.15%"
"10/08/2014","46.80","46.90","47.47","46.75","1.69M","-0.78%"
"10/09/2014","47.35","47.20","47.60","47.11","1.64M","1.18%"
"10/10/2014","47.51","47.00","47.77","46.86","1.78M","0.34%"
"10/13/2014","47.84","47.24","48.26","47.24","1.87M","0.69%"
