"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2017","3.80","3.74","3.82","3.72","13.62M","1.33%"
"04/21/2017","3.92","3.81","3.95","3.81","15.14M","3.13%"
"04/24/2017","3.94","3.95","3.95","3.86","6.64M","0.43%"
"04/25/2017","3.91","3.89","3.99","3.87","9.20M","-0.53%"
"04/26/2017","3.87","3.92","3.95","3.75","4.72M","-1.17%"
"04/27/2017","3.86","3.87","3.87","3.82","665.96K","-0.36%"
"04/28/2017","3.88","3.87","3.88","3.78","1.81M","0.54%"
"05/02/2017","3.87","3.86","3.87","3.81","453.97K","-0.15%"
"05/04/2017","3.88","3.90","3.95","3.87","1.69M","0.26%"
"05/05/2017","3.88","3.90","3.93","3.88","1.28M","0.00%"
"05/08/2017","3.90","3.90","3.93","3.80","1.47M","0.44%"
"05/09/2017","3.86","3.90","3.93","3.82","859.99K","-1.05%"
"05/10/2017","3.84","3.85","3.85","3.81","718.85K","-0.52%"
"05/11/2017","3.80","3.84","3.84","3.76","2.46M","-1.04%"
"05/12/2017","3.88","3.80","3.88","3.78","981.43K","2.08%"
"05/15/2017","3.90","3.85","3.91","3.85","4.81M","0.54%"
"05/16/2017","3.90","3.90","3.93","3.89","1.91M","0.00%"
"05/17/2017","3.87","3.88","3.90","3.83","241.82K","-0.69%"
"05/18/2017","3.82","3.83","3.86","3.78","395.41K","-1.24%"
"05/19/2017","3.98","3.81","3.99","3.81","2.34M","4.11%"
"05/22/2017","4.05","3.98","4.06","3.93","2.51M","1.76%"
"05/23/2017","4.03","4.07","4.07","4.00","1.34M","-0.37%"
"05/24/2017","4.15","4.10","4.20","4.03","5.82M","2.80%"
"05/25/2017","4.08","4.15","4.15","4.04","2.68M","-1.57%"
"05/26/2017","4.14","4.07","4.15","4.07","1.27M","1.52%"
"05/29/2017","4.15","4.14","4.15","4.12","56.00K","0.00%"
"05/30/2017","4.07","4.17","4.17","4.07","1.44M","-2.00%"
"05/31/2017","4.11","4.07","4.11","4.07","2.39M","1.18%"
"06/01/2017","4.30","4.13","4.32","4.13","1.83M","4.57%"
"06/02/2017","4.50","4.37","4.62","4.37","4.57M","4.63%"
"06/05/2017","4.50","4.50","4.58","4.39","898.75K","0.00%"
"06/06/2017","4.45","4.46","4.47","4.42","463.05K","-1.13%"
"06/07/2017","4.44","4.47","4.50","4.39","764.36K","-0.22%"
"06/08/2017","4.38","4.47","4.47","4.35","1.93M","-1.42%"
"06/09/2017","4.39","4.40","4.40","4.37","89.17K","0.21%"
"06/12/2017","4.39","4.40","4.41","4.32","135.07K","0.00%"
"06/13/2017","4.39","4.39","4.39","4.36","80.15K","0.00%"
"06/14/2017","4.34","4.41","4.41","4.34","2.72M","-1.14%"
"06/16/2017","4.38","4.34","4.40","4.31","2.03M","0.92%"
"06/19/2017","4.49","4.50","4.53","4.46","5.44M","2.63%"
"06/20/2017","4.53","4.52","4.56","4.52","847.24K","0.91%"
"06/21/2017","4.52","4.59","4.59","4.52","289.79K","-0.26%"
"06/22/2017","4.51","4.52","4.52","4.50","6.56M","-0.20%"
"06/23/2017","4.55","4.55","4.58","4.51","565.30K","0.84%"
"06/26/2017","4.58","4.58","4.59","4.55","995.75K","0.70%"
"06/27/2017","4.54","4.58","4.58","4.54","132.91K","-0.87%"
"06/28/2017","4.56","4.54","4.56","4.50","214.96K","0.44%"
"06/29/2017","4.60","4.59","4.60","4.58","680.21K","0.88%"
"06/30/2017","4.69","4.59","4.69","4.58","1.22M","1.93%"
"07/03/2017","4.71","4.71","4.73","4.65","139.75K","0.45%"
"07/04/2017","4.70","4.71","4.78","4.68","1.40M","-0.28%"
"07/05/2017","4.65","4.73","4.73","4.53","419.05K","-1.00%"
"07/06/2017","4.70","4.61","4.70","4.60","79.36K","1.08%"
