"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","53.55","53.99","54.25","53.40","88.85K","0.79%"
"01/03/2014","54.05","53.55","55.10","53.35","85.10K","0.93%"
"01/07/2014","52.79","53.81","53.95","52.02","121.86K","-2.33%"
"01/08/2014","52.90","52.90","53.00","51.85","134.89K","0.21%"
"01/09/2014","50.26","52.20","52.82","50.26","156.32K","-4.99%"
"01/10/2014","49.40","50.06","50.10","48.12","240.72K","-1.71%"
"01/13/2014","50.25","49.40","51.35","49.05","161.04K","1.72%"
"01/14/2014","50.73","49.95","51.25","49.40","127.10K","0.96%"
"01/15/2014","51.80","51.60","52.40","51.50","97.54K","2.11%"
"01/16/2014","51.70","52.20","52.42","51.70","106.40K","-0.19%"
"01/17/2014","50.00","51.61","52.00","49.92","152.62K","-3.29%"
"01/20/2014","49.48","49.90","49.90","49.04","68.00K","-1.04%"
"01/21/2014","50.00","49.48","50.37","49.48","96.61K","1.05%"
"01/22/2014","50.32","50.00","51.34","49.83","188.92K","0.64%"
"01/23/2014","49.50","51.00","51.15","49.34","202.03K","-1.63%"
"01/24/2014","47.00","49.00","49.05","45.70","315.39K","-5.05%"
"01/27/2014","45.02","46.30","46.37","45.00","168.22K","-4.21%"
"01/28/2014","46.00","45.15","46.00","45.05","139.19K","2.18%"
"01/29/2014","45.10","46.60","47.20","45.02","115.67K","-1.96%"
"01/30/2014","46.20","45.09","46.94","44.50","139.79K","2.44%"
"01/31/2014","46.20","46.03","46.40","45.80","105.61K","0.00%"
"02/03/2014","46.27","46.13","47.19","45.72","95.20K","0.15%"
"02/04/2014","45.71","45.12","46.90","45.11","149.57K","-1.21%"
"02/05/2014","47.52","46.20","47.84","46.00","306.67K","3.96%"
"02/06/2014","49.02","47.51","49.17","47.51","186.96K","3.16%"
"02/07/2014","51.05","49.20","51.14","49.10","219.95K","4.14%"
"02/10/2014","49.93","51.00","51.98","49.93","241.07K","-2.19%"
"02/11/2014","50.20","49.93","50.97","49.93","97.67K","0.54%"
"02/12/2014","51.80","51.00","52.52","50.50","249.99K","3.19%"
"02/13/2014","52.52","51.80","52.69","51.30","122.77K","1.39%"
"02/14/2014","52.50","52.70","53.05","51.62","178.27K","-0.04%"
"02/17/2014","54.00","52.31","54.11","52.00","119.23K","2.86%"
"02/18/2014","53.10","54.12","54.39","53.08","101.52K","-1.67%"
"02/19/2014","53.00","52.90","53.45","52.10","189.26K","-0.19%"
"02/20/2014","52.33","52.49","52.80","51.71","95.99K","-1.26%"
"02/21/2014","52.55","52.60","52.83","52.50","56.19K","0.42%"
"02/24/2014","52.90","52.60","53.29","52.35","112.85K","0.67%"
"02/25/2014","52.70","52.95","53.30","52.51","132.07K","-0.38%"
"02/26/2014","52.00","52.81","52.89","51.99","276.75K","-1.33%"
"02/27/2014","52.00","51.97","52.27","50.76","124.35K","0.00%"
"02/28/2014","51.50","51.66","52.60","51.50","160.03K","-0.96%"
"03/03/2014","49.00","50.00","50.38","47.80","214.10K","-4.85%"
"03/04/2014","50.81","49.30","50.81","49.30","126.07K","3.69%"
"03/05/2014","51.00","50.78","51.00","50.55","165.19K","0.37%"
"03/06/2014","50.34","51.00","51.05","49.40","171.54K","-1.29%"
"03/07/2014","50.50","50.00","50.50","49.95","140.07K","0.32%"
"03/10/2014","49.20","50.50","50.50","48.81","153.95K","-2.57%"
"03/11/2014","46.50","49.15","49.15","46.14","358.86K","-5.49%"
"03/12/2014","45.00","46.55","46.98","44.57","285.54K","-3.23%"
"03/13/2014","43.05","45.02","45.49","43.05","327.02K","-4.33%"
"03/14/2014","41.90","42.00","42.69","41.00","293.78K","-2.67%"
"03/17/2014","43.90","42.11","44.29","42.11","126.50K","4.77%"
"03/18/2014","44.70","43.67","45.26","43.67","156.12K","1.82%"
"03/19/2014","44.11","44.80","45.50","44.01","175.86K","-1.32%"
"03/20/2014","43.60","43.50","43.80","42.70","145.20K","-1.16%"
"03/21/2014","44.10","43.60","45.25","43.50","338.54K","1.15%"
"03/24/2014","43.40","44.00","44.10","43.10","168.54K","-1.59%"
"03/25/2014","42.50","43.10","43.55","42.50","152.44K","-2.07%"
"03/26/2014","43.21","42.50","43.85","42.50","302.77K","1.67%"
"03/27/2014","43.10","43.10","43.58","42.55","260.88K","-0.25%"
"03/28/2014","43.99","43.02","44.10","43.02","112.57K","2.06%"
"03/31/2014","45.82","43.99","45.82","43.99","173.40K","4.16%"
"04/01/2014","46.40","45.99","47.12","45.92","160.41K","1.27%"
"04/02/2014","46.80","46.60","47.14","46.30","111.63K","0.86%"
"04/03/2014","46.12","46.80","46.98","45.57","140.09K","-1.45%"
"04/04/2014","46.99","46.12","46.99","45.80","91.26K","1.89%"
"04/07/2014","47.85","46.32","47.85","46.32","112.89K","1.83%"
"04/08/2014","47.75","47.30","47.81","47.26","62.84K","-0.21%"
"04/09/2014","46.02","47.45","47.50","45.69","201.58K","-3.62%"
"04/10/2014","45.95","45.90","47.10","45.61","108.74K","-0.15%"
"04/11/2014","43.99","43.89","44.40","42.85","331.86K","-4.27%"
"04/14/2014","45.00","43.40","45.00","43.31","155.92K","2.30%"
"04/15/2014","44.10","45.00","45.00","44.00","140.02K","-2.00%"
"04/16/2014","43.93","44.09","44.50","43.80","204.95K","-0.39%"
"04/17/2014","43.71","44.00","44.10","43.53","72.35K","-0.50%"
"04/22/2014","43.50","43.53","43.79","43.21","61.70K","-0.48%"
"04/23/2014","42.75","43.50","43.87","42.56","65.22K","-1.72%"
"04/24/2014","42.51","42.50","43.73","42.42","89.52K","-0.56%"
"04/25/2014","41.41","42.40","42.55","41.41","91.33K","-2.59%"
"04/28/2014","42.66","41.50","42.70","41.45","115.55K","3.02%"
"04/29/2014","43.05","42.52","43.42","42.52","87.99K","0.91%"
"04/30/2014","41.60","42.80","43.25","41.60","55.27K","-3.37%"
"05/02/2014","41.76","42.01","42.20","41.72","21.94K","0.38%"
"05/05/2014","41.50","41.80","41.88","41.35","28.78K","-0.62%"
"05/06/2014","42.18","41.30","42.18","41.30","88.04K","1.64%"
"05/07/2014","42.80","42.01","42.87","41.90","101.25K","1.47%"
"05/08/2014","43.17","42.90","43.50","42.75","94.29K","0.86%"
"05/09/2014","42.00","43.20","43.25","41.80","41.91K","-2.71%"
"05/12/2014","42.46","41.50","42.46","41.07","66.43K","1.10%"
"05/13/2014","44.11","42.50","45.40","42.46","348.55K","3.89%"
"05/14/2014","43.04","44.12","44.82","42.52","151.39K","-2.43%"
"05/15/2014","45.50","43.75","46.10","43.70","303.32K","5.72%"
"05/16/2014","46.08","45.30","46.10","44.61","189.45K","1.27%"
"05/19/2014","46.10","45.60","46.60","45.50","68.14K","0.04%"
"05/20/2014","46.00","45.62","46.79","45.60","63.58K","-0.22%"
"05/21/2014","46.30","46.20","46.79","45.00","73.93K","0.65%"
"05/22/2014","46.50","46.30","46.58","46.21","201.27K","0.43%"
"05/23/2014","46.75","46.60","46.98","46.55","89.89K","0.54%"
"05/26/2014","46.75","46.75","46.99","46.02","46.24K","0.00%"
"05/27/2014","45.80","46.13","46.29","45.40","86.23K","-2.03%"
"05/28/2014","46.10","45.50","46.11","45.50","80.97K","0.66%"
"05/29/2014","47.35","46.15","47.52","46.15","174.54K","2.71%"
"05/30/2014","46.94","47.40","47.79","46.81","862.76K","-0.87%"
"06/02/2014","47.00","46.60","47.17","46.02","256.46K","0.13%"
"06/03/2014","45.80","47.23","47.45","45.74","150.31K","-2.55%"
"06/04/2014","45.91","45.73","45.98","45.50","106.55K","0.24%"
"06/05/2014","46.39","45.70","46.50","45.52","44.39K","1.05%"
"06/06/2014","46.49","46.43","46.49","45.95","70.25K","0.22%"
"06/09/2014","45.73","46.00","46.30","45.50","55.70K","-1.63%"
"06/10/2014","46.30","45.53","46.30","45.50","101.27K","1.25%"
"06/11/2014","46.35","46.30","46.35","45.90","76.84K","0.11%"
"06/12/2014","46.20","46.35","46.51","45.74","48.17K","-0.32%"
"06/13/2014","46.09","45.71","46.28","45.70","40.81K","-0.24%"
"06/16/2014","45.66","45.19","45.66","43.54","94.08K","-0.93%"
"06/17/2014","46.00","45.08","46.00","45.08","39.41K","0.74%"
"06/18/2014","47.02","45.90","47.20","45.90","131.24K","2.22%"
"06/20/2014","47.00","47.03","47.33","46.33","263.09K","-0.04%"
"06/23/2014","49.99","47.12","49.99","46.93","227.35K","6.36%"
"06/24/2014","49.39","49.94","49.94","48.92","70.12K","-1.20%"
"06/25/2014","47.08","48.81","48.89","46.60","138.75K","-4.68%"
"06/26/2014","46.30","46.82","47.43","45.71","153.81K","-1.66%"
"06/27/2014","46.65","46.02","47.10","46.02","169.04K","0.76%"
"06/30/2014","47.00","46.60","47.30","46.30","158.01K","0.75%"
"07/01/2014","46.85","47.00","47.10","46.59","84.89K","-0.32%"
"07/02/2014","46.61","47.00","47.01","45.81","94.35K","-0.51%"
"07/03/2014","46.05","46.01","46.30","45.11","106.76K","-1.20%"
"07/04/2014","44.60","45.43","45.46","44.50","111.11K","-3.15%"
"07/07/2014","42.50","44.60","44.70","42.50","128.13K","-4.71%"
"07/08/2014","42.69","42.99","43.30","42.25","246.56K","0.45%"
"07/09/2014","42.50","42.65","43.00","42.11","140.02K","-0.45%"
"07/10/2014","42.50","42.26","42.75","42.12","103.05K","0.00%"
"07/11/2014","43.28","42.31","43.50","42.31","101.98K","1.84%"
"07/14/2014","43.60","43.38","43.89","43.38","70.35K","0.74%"
"07/15/2014","42.90","43.44","43.60","42.82","79.62K","-1.61%"
"07/16/2014","42.52","42.90","43.19","42.51","42.70K","-0.89%"
"07/17/2014","42.80","42.60","42.84","42.50","58.51K","0.66%"
"07/18/2014","43.12","42.80","43.12","42.50","47.48K","0.75%"
"07/21/2014","43.10","43.12","43.28","42.50","43.61K","-0.05%"
"07/22/2014","43.47","42.75","43.59","42.75","72.44K","0.86%"
"07/23/2014","43.17","43.50","43.70","43.17","78.42K","-0.69%"
"07/24/2014","43.27","43.13","43.27","42.84","79.33K","0.23%"
"07/25/2014","43.30","43.28","43.50","42.85","53.26K","0.07%"
"07/28/2014","43.00","43.00","43.27","42.90","69.15K","-0.69%"
"07/29/2014","42.64","42.55","43.00","42.30","75.50K","-0.84%"
"07/30/2014","41.30","42.34","42.50","41.04","147.41K","-3.14%"
"07/31/2014","41.55","41.05","42.12","41.05","87.70K","0.61%"
"08/01/2014","41.25","41.49","41.49","40.30","87.56K","-0.72%"
"08/04/2014","42.22","41.24","42.49","41.00","107.23K","2.35%"
"08/05/2014","40.99","42.49","42.50","40.94","116.75K","-2.91%"
"08/06/2014","38.84","41.20","41.32","38.84","292.35K","-5.25%"
"08/07/2014","36.30","38.85","38.89","36.04","454.40K","-6.54%"
"08/08/2014","36.01","36.01","37.00","35.04","199.28K","-0.80%"
"08/11/2014","37.42","36.53","37.42","36.53","167.97K","3.92%"
"08/12/2014","37.00","37.47","37.48","36.51","79.92K","-1.12%"
"08/13/2014","37.00","36.75","37.00","36.51","83.31K","0.00%"
"08/14/2014","36.26","36.75","38.41","36.22","248.03K","-2.00%"
"08/18/2014","36.30","36.20","37.18","36.03","137.55K","0.11%"
"08/19/2014","34.58","36.25","36.39","34.33","378.65K","-4.74%"
"08/20/2014","33.36","34.58","34.60","33.10","294.70K","-3.53%"
"08/21/2014","33.54","33.05","34.00","33.05","247.04K","0.54%"
"08/22/2014","31.90","33.30","33.45","31.90","310.77K","-4.89%"
