"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","498.55","493.10","501.00","493.10","11.02K","-0.29%"
"01/03/2014","490.00","497.00","499.00","490.00","8.01K","-1.71%"
"01/07/2014","476.00","483.00","488.90","472.20","35.67K","-2.86%"
"01/08/2014","487.75","476.30","487.75","475.10","42.19K","2.47%"
"01/09/2014","471.05","486.65","486.90","471.05","13.82K","-3.42%"
"01/10/2014","479.95","471.05","479.95","460.60","21.13K","1.89%"
"01/13/2014","490.00","479.45","494.20","473.95","36.46K","2.09%"
"01/14/2014","503.65","490.00","503.65","485.00","26.63K","2.79%"
"01/15/2014","503.00","506.00","512.00","500.50","55.15K","-0.13%"
"01/16/2014","502.50","511.80","511.80","495.00","14.88K","-0.10%"
"01/17/2014","495.10","505.80","509.00","491.00","14.44K","-1.47%"
"01/20/2014","500.00","493.00","508.85","491.50","26.07K","0.99%"
"01/21/2014","504.95","507.45","509.00","494.00","26.84K","0.99%"
"01/22/2014","513.00","509.00","518.00","505.00","60.06K","1.59%"
"01/23/2014","519.90","514.90","519.90","509.15","41.94K","1.35%"
"01/24/2014","494.00","519.85","519.85","494.00","41.65K","-4.98%"
"01/27/2014","496.00","491.00","496.00","476.80","58.00K","0.40%"
"01/28/2014","494.50","496.00","496.05","490.10","33.91K","-0.30%"
"01/29/2014","493.90","497.00","499.00","483.10","35.61K","-0.12%"
"01/30/2014","502.00","490.00","504.00","481.80","16.90K","1.64%"
"01/31/2014","510.00","504.90","510.00","491.60","27.76K","1.59%"
"02/03/2014","505.05","507.00","522.00","503.10","17.55K","-0.97%"
"02/04/2014","509.35","498.80","518.85","492.50","22.47K","0.85%"
"02/05/2014","519.85","508.80","519.85","502.50","35.07K","2.06%"
"02/06/2014","531.00","522.10","533.90","522.10","38.10K","2.14%"
"02/07/2014","525.50","532.40","532.65","525.50","17.00K","-1.04%"
"02/10/2014","528.00","521.30","529.00","514.40","20.31K","0.48%"
"02/11/2014","533.30","528.00","533.30","520.35","20.51K","1.00%"
"02/12/2014","536.75","535.00","537.50","528.20","12.47K","0.65%"
"02/13/2014","537.30","531.20","537.30","531.20","13.12K","0.10%"
"02/14/2014","535.00","538.00","540.00","532.55","13.31K","-0.43%"
"02/17/2014","527.00","530.20","533.00","527.00","6.63K","-1.50%"
"02/18/2014","522.10","528.05","530.05","521.65","28.18K","-0.93%"
"02/19/2014","526.00","521.50","531.90","520.20","6.12K","0.75%"
"02/20/2014","524.00","520.95","532.00","520.50","19.91K","-0.38%"
"02/21/2014","532.80","531.70","538.20","526.70","12.85K","1.68%"
"02/24/2014","541.00","532.80","541.00","532.80","21.50K","1.54%"
"02/25/2014","532.00","541.00","544.90","532.00","21.20K","-1.66%"
"02/26/2014","520.00","532.00","537.80","512.00","25.94K","-2.26%"
"02/27/2014","524.00","523.75","525.00","510.20","11.99K","0.77%"
"02/28/2014","545.00","526.70","545.00","526.00","29.18K","4.01%"
"03/03/2014","516.50","525.00","533.10","516.00","28.16K","-5.23%"
"03/04/2014","520.00","518.30","528.85","518.30","24.34K","0.68%"
"03/05/2014","517.15","522.00","529.60","517.15","32.61K","-0.55%"
"03/06/2014","517.15","519.00","525.95","517.15","8.62K","0.00%"
"03/07/2014","522.00","521.00","524.00","515.25","12.00K","0.94%"
"03/10/2014","524.00","520.00","526.50","517.20","35.25K","0.38%"
"03/11/2014","520.05","524.00","527.80","515.00","25.47K","-0.75%"
"03/12/2014","515.00","524.50","530.00","512.50","46.20K","-0.97%"
"03/13/2014","498.55","515.00","515.10","498.55","34.38K","-3.19%"
"03/14/2014","485.10","488.80","510.50","482.00","31.14K","-2.70%"
"03/17/2014","510.00","495.85","518.00","491.15","45.48K","5.13%"
"03/18/2014","514.40","510.10","520.90","508.80","27.63K","0.86%"
"03/19/2014","505.55","520.00","520.00","505.05","12.26K","-1.72%"
"03/20/2014","508.00","501.10","511.95","501.10","21.79K","0.48%"
"03/21/2014","515.05","514.75","521.10","514.45","52.14K","1.39%"
"03/24/2014","512.50","522.00","522.00","512.00","6.76K","-0.50%"
"03/25/2014","517.45","513.50","522.00","507.20","14.46K","0.97%"
"03/26/2014","530.00","523.10","540.40","522.80","29.39K","2.43%"
"03/27/2014","530.75","539.95","544.95","530.75","24.19K","0.14%"
"03/28/2014","537.00","539.00","542.00","533.20","9.45K","1.18%"
"03/31/2014","539.00","539.00","542.00","530.65","25.45K","0.37%"
"04/01/2014","529.00","539.00","539.00","526.20","21.93K","-1.86%"
"04/02/2014","525.60","533.90","536.90","523.05","12.48K","-0.64%"
"04/03/2014","525.40","529.05","535.95","525.20","17.00K","-0.04%"
"04/04/2014","536.85","529.40","540.00","528.85","19.57K","2.18%"
"04/07/2014","539.95","534.70","543.00","532.45","24.93K","0.58%"
"04/08/2014","528.60","540.70","540.70","528.05","53.26K","-2.10%"
"04/09/2014","528.00","535.00","537.45","528.00","25.03K","-0.11%"
"04/10/2014","518.00","529.00","529.00","515.25","38.41K","-1.89%"
"04/11/2014","519.00","516.05","525.60","516.05","24.12K","0.19%"
"04/14/2014","508.00","520.95","523.80","502.10","27.90K","-2.12%"
"04/15/2014","511.75","508.00","519.55","504.20","20.94K","0.74%"
"04/16/2014","510.00","510.00","515.90","506.00","31.51K","-0.34%"
"04/17/2014","519.30","508.10","519.30","508.10","36.24K","1.82%"
"04/22/2014","529.00","519.35","529.50","513.05","21.86K","1.87%"
"04/23/2014","525.00","522.50","528.40","517.25","13.59K","-0.76%"
"04/24/2014","515.55","524.90","525.00","515.55","23.62K","-1.80%"
"04/25/2014","518.50","513.20","519.30","509.00","12.49K","0.57%"
"04/28/2014","513.10","519.00","519.50","510.10","15.44K","-1.04%"
"04/29/2014","510.60","517.40","521.05","510.30","34.45K","-0.49%"
"04/30/2014","495.00","499.00","510.00","495.00","22.38K","-3.06%"
"05/02/2014","500.00","501.00","503.90","495.15","7.90K","1.01%"
"05/05/2014","496.00","503.00","504.90","492.00","12.95K","-0.80%"
"05/06/2014","481.10","496.00","501.80","480.10","28.29K","-3.00%"
"05/07/2014","490.15","481.50","499.85","477.25","38.92K","1.88%"
"05/08/2014","496.40","495.00","499.65","492.05","23.83K","1.28%"
"05/09/2014","488.00","499.00","499.00","485.05","5.93K","-1.69%"
"05/12/2014","508.00","493.00","508.00","488.10","13.70K","4.10%"
"05/13/2014","510.00","509.65","512.90","508.45","15.61K","0.39%"
"05/14/2014","505.95","511.75","511.75","499.25","21.14K","-0.79%"
"05/15/2014","506.40","510.00","511.60","503.15","15.25K","0.09%"
"05/16/2014","498.55","507.95","507.95","494.00","21.91K","-1.55%"
"05/19/2014","494.00","495.30","506.35","493.00","29.38K","-0.91%"
"05/20/2014","494.00","494.05","503.10","493.00","22.20K","0.00%"
"05/21/2014","498.60","495.00","498.60","493.00","3.53K","0.93%"
"05/22/2014","511.50","503.95","513.60","499.15","36.18K","2.59%"
"05/23/2014","514.90","513.50","515.55","506.65","22.36K","0.66%"
"05/26/2014","524.00","515.50","524.00","515.50","8.98K","1.77%"
"05/27/2014","522.00","524.00","524.00","514.00","9.58K","-0.38%"
"05/28/2014","512.00","517.80","519.90","510.05","14.21K","-1.92%"
"05/29/2014","519.60","510.40","519.60","507.05","22.53K","1.48%"
"05/30/2014","496.00","519.50","519.50","496.00","49.42K","-4.54%"
"06/02/2014","497.00","500.00","507.50","496.35","23.97K","0.20%"
"06/03/2014","515.00","502.15","515.00","497.20","21.23K","3.62%"
"06/04/2014","508.90","509.00","515.00","503.00","12.09K","-1.18%"
"06/05/2014","527.50","513.80","527.50","509.00","24.41K","3.65%"
"06/06/2014","541.50","527.45","541.50","524.05","25.30K","2.65%"
"06/09/2014","539.00","541.25","549.00","530.75","17.01K","-0.46%"
"06/10/2014","545.00","538.55","546.90","532.15","27.97K","1.11%"
"06/11/2014","528.50","540.40","547.00","518.30","25.41K","-3.03%"
"06/12/2014","512.95","537.50","537.50","510.30","26.99K","-2.94%"
"06/13/2014","501.20","507.10","512.95","501.20","46.52K","-2.29%"
"06/16/2014","505.20","501.30","507.00","498.00","14.52K","0.80%"
"06/17/2014","506.00","509.10","511.60","503.00","12.95K","0.16%"
"06/18/2014","508.00","510.00","518.80","507.40","27.32K","0.40%"
"06/20/2014","519.55","510.00","519.55","510.00","39.72K","2.27%"
"06/23/2014","518.00","518.60","519.55","512.55","17.01K","-0.30%"
"06/24/2014","514.00","519.00","522.15","513.00","8.01K","-0.77%"
"06/25/2014","503.00","512.55","515.00","502.00","23.42K","-2.14%"
"06/26/2014","500.00","507.00","509.90","500.00","26.61K","-0.60%"
"06/27/2014","497.00","501.00","506.90","492.10","18.82K","-0.60%"
"06/30/2014","505.00","503.05","506.90","495.00","19.22K","1.61%"
"07/01/2014","505.00","505.75","505.75","496.20","28.64K","0.00%"
"07/02/2014","503.00","504.95","508.00","498.05","15.60K","-0.40%"
"07/03/2014","500.00","506.00","506.00","499.00","23.87K","-0.60%"
"07/04/2014","494.80","500.00","504.30","494.80","16.69K","-1.04%"
"07/07/2014","500.00","495.80","503.00","495.80","19.03K","1.05%"
"07/08/2014","489.90","503.15","504.00","489.90","15.39K","-2.02%"
"07/09/2014","486.15","485.00","488.85","484.00","11.69K","-0.77%"
"07/10/2014","487.00","497.00","497.00","486.00","31.82K","0.17%"
"07/11/2014","486.50","488.45","494.20","481.00","30.93K","-0.10%"
"07/14/2014","484.30","490.05","494.15","484.00","6.96K","-0.45%"
"07/15/2014","483.75","486.00","486.95","481.20","16.36K","-0.11%"
"07/16/2014","483.80","482.00","488.00","480.25","12.52K","0.01%"
"07/17/2014","483.80","480.20","484.40","476.30","12.74K","0.00%"
"07/18/2014","484.50","480.70","484.50","478.85","21.20K","0.14%"
"07/21/2014","482.00","485.00","487.15","477.70","13.59K","-0.52%"
"07/22/2014","480.00","482.00","484.95","477.10","16.64K","-0.41%"
"07/23/2014","477.90","483.00","483.00","470.10","14.53K","-0.44%"
"07/24/2014","483.40","474.10","483.40","472.50","13.24K","1.15%"
"07/25/2014","488.85","480.10","488.85","480.10","30.50K","1.13%"
"07/28/2014","489.80","489.00","492.00","486.00","7.25K","0.19%"
"07/29/2014","486.35","491.95","491.95","482.25","29.68K","-0.70%"
"07/30/2014","473.10","485.95","486.20","467.50","25.65K","-2.72%"
"07/31/2014","468.00","473.10","474.85","465.20","39.02K","-1.08%"
"08/01/2014","463.00","465.00","466.00","445.05","38.34K","-1.07%"
"08/04/2014","464.80","469.75","469.75","457.20","43.55K","0.39%"
"08/05/2014","457.00","464.80","466.90","455.00","32.73K","-1.68%"
"08/06/2014","460.00","459.00","460.00","441.00","22.98K","0.66%"
"08/07/2014","451.45","461.00","463.50","445.00","29.85K","-1.86%"
"08/08/2014","446.00","443.15","448.00","442.00","28.45K","-1.21%"
"08/11/2014","449.35","452.40","452.40","446.40","19.07K","0.75%"
"08/12/2014","442.10","445.00","447.85","440.00","20.61K","-1.61%"
"08/13/2014","455.45","445.80","455.45","441.55","24.17K","3.02%"
"08/14/2014","476.95","451.00","476.95","446.60","24.78K","4.72%"
"08/18/2014","478.50","474.80","479.00","468.50","20.25K","0.32%"
"08/19/2014","479.20","475.00","479.20","471.00","20.26K","0.15%"
"08/20/2014","478.50","473.45","492.00","472.60","29.30K","-0.15%"
"08/21/2014","461.65","477.00","483.50","461.65","50.10K","-3.52%"
"08/22/2014","452.00","462.20","467.35","451.10","22.15K","-2.09%"
"08/25/2014","465.30","459.00","466.05","457.35","10.43K","2.94%"
"08/26/2014","480.00","467.00","480.00","465.05","27.85K","3.16%"
"08/27/2014","480.00","481.40","482.00","468.10","23.27K","0.00%"
"08/28/2014","470.00","478.00","481.90","456.80","38.38K","-2.08%"
"08/29/2014","463.50","469.85","471.70","463.50","39.83K","-1.38%"
"09/01/2014","470.00","472.85","473.00","465.00","9.69K","1.40%"
"09/02/2014","473.40","472.00","475.50","468.00","20.98K","0.72%"
"09/03/2014","490.00","474.00","497.00","470.00","100.76K","3.51%"
"09/04/2014","500.00","490.10","506.00","490.10","112.31K","2.04%"
"09/05/2014","507.50","502.00","512.00","502.00","45.39K","1.50%"
"09/08/2014","505.80","507.50","507.50","498.05","33.56K","-0.33%"
"09/09/2014","509.85","501.10","517.00","501.10","30.19K","0.80%"
"09/10/2014","500.00","502.10","505.95","498.35","22.87K","-1.93%"
"09/11/2014","487.30","500.00","505.90","487.30","28.99K","-2.54%"
"09/12/2014","492.00","488.50","500.00","487.00","37.79K","0.96%"
"09/15/2014","491.95","493.00","502.90","490.10","51.96K","-0.01%"
"09/16/2014","491.00","496.95","496.95","490.20","28.85K","-0.19%"
"09/17/2014","498.45","492.50","499.00","492.50","16.90K","1.52%"
"09/18/2014","510.00","498.20","514.00","498.20","53.28K","2.32%"
"09/19/2014","512.30","514.00","528.90","510.55","197.01K","0.45%"
"09/22/2014","519.95","513.00","527.90","508.10","22.01K","1.49%"
"09/23/2014","498.95","519.95","519.95","498.95","28.31K","-4.04%"
"09/24/2014","495.00","501.00","502.75","491.50","32.56K","-0.79%"
"09/25/2014","495.00","498.45","503.00","495.00","18.94K","0.00%"
"09/26/2014","491.10","495.00","495.00","490.10","20.16K","-0.79%"
"09/29/2014","496.60","493.00","500.60","491.10","24.68K","1.12%"
"09/30/2014","492.00","497.45","501.00","491.15","46.80K","-0.93%"
"10/01/2014","483.00","492.95","494.40","483.00","21.77K","-1.83%"
"10/02/2014","480.00","482.00","482.00","478.00","22.83K","-0.62%"
"10/03/2014","481.00","481.50","486.25","480.00","15.02K","0.21%"
"10/06/2014","487.50","488.00","493.90","483.00","32.29K","1.35%"
"10/07/2014","486.50","483.00","492.20","483.00","23.74K","-0.21%"
"10/08/2014","481.75","481.00","486.35","481.00","25.68K","-0.98%"
"10/09/2014","481.00","485.00","485.00","481.00","19.50K","-0.16%"
"10/10/2014","475.20","478.10","482.00","474.10","15.67K","-1.21%"
"10/13/2014","475.00","475.20","481.95","472.10","12.46K","-0.04%"
"10/14/2014","478.00","475.30","481.05","475.30","13.05K","0.63%"
"10/15/2014","480.05","481.95","483.25","476.55","22.71K","0.43%"
"10/16/2014","485.00","480.00","485.00","471.15","18.89K","1.03%"
"10/17/2014","481.00","485.00","485.95","474.00","27.04K","-0.82%"
"10/20/2014","474.90","481.00","484.70","473.15","17.06K","-1.27%"
"10/21/2014","485.35","473.10","485.55","473.10","16.76K","2.20%"
"10/22/2014","490.60","486.80","495.50","484.35","35.84K","1.08%"
"10/23/2014","488.40","489.60","493.90","483.85","10.73K","-0.45%"
"10/24/2014","489.95","488.40","492.30","480.10","11.66K","0.32%"
"10/27/2014","494.00","489.00","494.00","484.10","9.45K","0.83%"
"10/28/2014","491.10","494.60","494.90","488.05","9.02K","-0.59%"
"10/29/2014","492.45","490.00","495.10","487.45","28.88K","0.27%"
"10/30/2014","486.30","492.95","492.95","481.00","46.36K","-1.25%"
"10/31/2014","498.60","490.50","498.80","490.15","31.09K","2.53%"
"11/03/2014","486.60","498.80","499.00","486.35","11.04K","-2.41%"
"11/04/2014","485.80","485.60","492.60","485.60","18.75K","-0.16%"
"11/05/2014","490.20","486.90","496.50","485.80","30.10K","0.91%"
"11/06/2014","483.00","487.05","491.05","480.15","28.74K","-1.47%"
"11/07/2014","481.90","483.00","487.90","478.65","10.48K","-0.23%"
"11/10/2014","480.00","478.20","485.20","477.70","13.14K","-0.39%"
"11/12/2014","480.00","483.75","484.70","478.10","14.97K","0.00%"
"11/13/2014","489.40","484.45","489.40","482.20","13.59K","1.96%"
"11/14/2014","495.00","491.20","496.00","487.05","32.96K","1.14%"
"11/17/2014","504.00","496.50","504.95","493.00","50.52K","1.82%"
"11/18/2014","502.00","504.75","504.75","501.60","19.30K","-0.40%"
"11/19/2014","502.00","504.00","504.00","498.00","21.73K","0.00%"
"11/20/2014","495.00","499.40","499.40","493.50","11.11K","-1.39%"
"11/21/2014","498.00","500.20","501.00","493.90","15.73K","0.61%"
