"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","117.50","116.80","118.85","116.50","33.85K","0.77%"
"01/03/2014","116.95","117.45","117.50","116.80","13.18K","-0.47%"
"01/07/2014","114.90","116.85","116.85","114.10","12.28K","-1.75%"
"01/08/2014","112.65","115.00","115.30","110.10","12.97K","-1.96%"
"01/09/2014","113.90","112.40","115.00","110.20","7.13K","1.11%"
"01/10/2014","112.00","114.60","114.60","111.00","5.20K","-1.67%"
"01/13/2014","107.00","111.90","111.90","107.00","45.51K","-4.46%"
"01/14/2014","108.65","104.90","108.70","102.50","16.54K","1.54%"
"01/15/2014","110.00","109.00","111.10","109.00","12.57K","1.24%"
"01/16/2014","110.20","110.00","110.50","108.15","6.57K","0.18%"
"01/17/2014","109.00","110.20","110.20","107.65","4.94K","-1.09%"
"01/20/2014","108.60","109.00","109.00","108.35","38.37K","-0.37%"
"01/21/2014","112.30","108.60","112.60","108.50","16.58K","3.41%"
"01/22/2014","117.50","112.90","117.90","112.90","66.54K","4.63%"
"01/23/2014","122.50","118.20","125.10","118.20","248.39K","4.26%"
"01/24/2014","117.90","123.80","124.30","117.50","121.27K","-3.76%"
"01/27/2014","117.00","117.00","117.20","113.30","72.80K","-0.76%"
"01/28/2014","119.20","117.00","119.90","117.00","20.32K","1.88%"
"01/29/2014","117.80","121.00","122.00","117.50","18.91K","-1.17%"
"01/30/2014","117.00","117.70","118.90","115.20","18.50K","-0.68%"
"01/31/2014","119.00","117.60","119.00","116.30","20.06K","1.71%"
"02/03/2014","120.20","119.00","120.50","117.20","40.30K","1.01%"
"02/04/2014","118.20","118.00","120.00","117.00","13.03K","-1.66%"
"02/05/2014","118.40","118.20","119.95","117.65","25.80K","0.17%"
"02/06/2014","122.00","119.45","122.70","119.25","101.84K","3.04%"
"02/07/2014","121.30","122.00","122.50","121.00","22.14K","-0.57%"
"02/10/2014","123.80","123.40","124.00","122.35","14.40K","2.06%"
"02/11/2014","122.60","124.00","124.45","122.55","21.56K","-0.97%"
"02/12/2014","123.00","123.00","123.95","122.65","41.70K","0.33%"
"02/13/2014","124.50","123.50","125.00","123.15","27.36K","1.22%"
"02/14/2014","128.00","124.90","128.30","124.70","55.49K","2.81%"
"02/17/2014","132.20","128.00","132.20","128.00","26.71K","3.28%"
"02/18/2014","129.05","132.20","134.20","128.50","25.97K","-2.38%"
"02/19/2014","129.85","128.70","129.85","127.95","35.08K","0.62%"
