"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","180.20","181.90","182.10","179.20","219.00K","0.39%"
"01/03/2014","178.25","178.50","179.85","177.70","228.33K","-1.08%"
"01/07/2014","173.00","175.25","176.35","172.10","529.73K","-2.95%"
"01/08/2014","178.50","173.00","179.80","171.50","350.39K","3.18%"
"01/09/2014","173.00","178.50","178.50","173.00","493.73K","-3.08%"
"01/10/2014","177.00","172.95","177.00","172.10","323.01K","2.31%"
"01/13/2014","179.35","177.00","179.95","176.85","253.90K","1.33%"
"01/14/2014","178.80","178.60","184.70","177.15","405.18K","-0.31%"
"01/15/2014","183.20","183.50","185.30","182.70","268.46K","2.46%"
"01/16/2014","181.20","185.25","185.25","180.65","187.60K","-1.09%"
"01/17/2014","180.00","181.20","181.20","178.90","277.36K","-0.66%"
"01/20/2014","179.65","179.05","181.40","178.50","100.34K","-0.19%"
"01/21/2014","185.80","180.95","187.50","180.15","468.93K","3.42%"
"01/22/2014","188.00","187.40","190.80","184.85","291.50K","1.18%"
"01/23/2014","185.50","188.75","192.75","185.50","619.41K","-1.33%"
"01/24/2014","180.80","185.65","187.15","180.80","339.81K","-2.53%"
"01/27/2014","176.10","180.30","184.45","176.10","447.28K","-2.60%"
"01/28/2014","179.00","178.55","180.00","176.60","567.24K","1.65%"
"01/29/2014","177.60","182.40","183.95","177.10","526.78K","-0.78%"
"01/30/2014","183.00","177.10","185.40","176.15","466.35K","3.04%"
"01/31/2014","185.15","183.50","187.30","180.00","599.88K","1.17%"
"02/03/2014","184.00","185.70","187.15","182.70","376.27K","-0.62%"
"02/04/2014","183.60","181.00","185.90","181.00","297.82K","-0.22%"
"02/05/2014","181.90","182.50","185.00","181.90","310.42K","-0.93%"
"02/06/2014","187.50","183.70","187.80","182.70","649.30K","3.08%"
"02/07/2014","186.00","187.00","188.50","185.55","403.17K","-0.80%"
"02/10/2014","185.75","186.80","186.80","184.55","293.20K","-0.13%"
"02/11/2014","190.00","184.60","190.00","184.60","373.18K","2.29%"
"02/12/2014","192.00","191.50","192.05","189.60","326.46K","1.05%"
"02/13/2014","194.00","190.05","195.05","190.05","275.45K","1.04%"
"02/14/2014","194.00","194.00","196.90","192.65","536.25K","0.00%"
"02/17/2014","188.20","196.35","196.35","187.45","270.59K","-2.99%"
"02/18/2014","188.00","189.85","190.90","186.05","657.92K","-0.11%"
"02/19/2014","193.00","189.40","193.55","188.00","556.02K","2.66%"
"02/20/2014","189.20","191.85","192.70","188.70","435.38K","-1.97%"
"02/21/2014","191.35","191.00","192.15","189.00","355.69K","1.14%"
"02/24/2014","194.50","191.30","197.40","191.25","331.24K","1.65%"
"02/25/2014","193.50","194.50","195.45","193.15","129.81K","-0.51%"
"02/26/2014","192.95","194.95","195.50","190.85","245.36K","-0.28%"
"02/27/2014","190.60","191.20","192.70","189.85","202.73K","-1.22%"
"02/28/2014","193.00","191.00","194.00","189.95","351.54K","1.26%"
"03/03/2014","180.50","187.90","190.40","180.50","442.46K","-6.48%"
"03/04/2014","184.00","185.00","186.00","182.20","957.32K","1.94%"
"03/05/2014","185.30","184.40","187.15","183.50","735.49K","0.71%"
"03/06/2014","186.00","185.90","189.20","184.55","402.17K","0.38%"
"03/07/2014","184.40","186.75","187.55","183.20","315.47K","-0.86%"
"03/10/2014","183.60","183.20","185.80","182.70","305.00K","-0.43%"
"03/11/2014","185.50","185.00","186.20","182.60","369.32K","1.03%"
"03/12/2014","182.20","184.65","185.40","181.70","888.64K","-1.78%"
"03/13/2014","179.00","182.85","182.85","178.20","844.77K","-1.76%"
"03/14/2014","184.00","176.00","184.00","176.00","460.79K","2.79%"
"03/17/2014","186.90","183.00","186.90","182.15","593.86K","1.58%"
"03/18/2014","184.00","184.90","187.50","183.30","626.04K","-1.55%"
"03/19/2014","186.55","185.35","187.00","184.00","279.62K","1.39%"
"03/20/2014","187.50","185.05","188.90","185.05","461.29K","0.51%"
"03/21/2014","184.75","189.00","190.90","184.75","701.13K","-1.47%"
"03/24/2014","183.60","184.25","186.80","183.50","172.08K","-0.62%"
"03/25/2014","189.50","185.00","190.60","185.00","469.09K","3.21%"
"03/26/2014","190.00","190.50","191.80","189.35","710.80K","0.26%"
"03/27/2014","188.25","190.00","190.70","188.25","405.42K","-0.92%"
"03/28/2014","192.50","189.95","193.00","189.20","416.85K","2.26%"
"03/31/2014","196.60","192.85","196.65","191.50","474.51K","2.13%"
"04/01/2014","196.10","196.60","197.50","194.55","206.63K","-0.25%"
"04/02/2014","199.75","196.90","199.75","195.55","368.31K","1.86%"
