"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","16.14","16.31","16.33","16.02","1.13M","-0.86%"
"01/03/2014","16.16","16.20","16.41","16.15","1.48M","0.12%"
"01/07/2014","16.01","16.05","16.28","15.66","3.05M","-0.93%"
"01/08/2014","15.89","16.10","16.22","15.72","1.95M","-0.75%"
"01/09/2014","16.03","16.00","16.11","15.79","1.49M","0.88%"
"01/10/2014","15.74","15.91","15.97","15.67","4.62M","-1.81%"
"01/13/2014","16.29","15.82","16.34","15.82","2.09M","3.49%"
"01/14/2014","16.55","16.01","16.60","16.00","2.50M","1.60%"
"01/15/2014","16.40","16.65","16.80","16.29","2.23M","-0.91%"
"01/16/2014","16.74","16.50","16.87","16.32","1.52M","2.07%"
"01/17/2014","16.55","16.74","16.74","16.45","2.58M","-1.14%"
"01/20/2014","16.95","16.48","16.98","16.42","1.23M","2.42%"
"01/21/2014","16.95","16.99","17.39","16.85","1.62M","0.00%"
"01/22/2014","17.10","17.08","17.32","16.89","2.27M","0.88%"
"01/23/2014","16.80","17.11","17.36","16.75","2.01M","-1.75%"
"01/24/2014","16.60","16.90","17.08","16.37","3.38M","-1.19%"
"01/27/2014","16.50","16.47","16.71","16.12","2.76M","-0.60%"
"01/28/2014","16.10","16.64","16.66","16.10","3.45M","-2.42%"
"01/29/2014","16.00","16.25","16.29","15.82","3.06M","-0.62%"
"01/30/2014","16.12","16.00","16.35","15.60","2.77M","0.75%"
"01/31/2014","16.50","16.20","16.67","16.13","4.02M","2.36%"
"02/03/2014","16.80","16.60","16.99","16.60","1.80M","1.82%"
"02/04/2014","16.76","16.69","17.16","16.63","2.31M","-0.24%"
"02/05/2014","17.05","16.71","17.13","16.66","3.09M","1.73%"
"02/06/2014","17.22","16.94","17.34","16.94","2.18M","1.00%"
"02/07/2014","16.99","17.12","17.26","16.86","1.87M","-1.34%"
"02/10/2014","17.11","17.08","17.19","16.76","1.17M","0.71%"
"02/11/2014","17.88","17.11","17.88","17.02","2.85M","4.50%"
"02/12/2014","18.14","17.89","18.51","17.89","4.73M","1.45%"
"02/13/2014","18.55","18.14","18.58","17.95","2.80M","2.26%"
"02/14/2014","18.50","18.50","18.60","18.24","3.10M","-0.27%"
"02/17/2014","18.55","18.36","18.70","18.27","1.50M","0.27%"
"02/18/2014","18.45","18.69","18.89","18.30","2.77M","-0.54%"
"02/19/2014","18.50","17.81","18.61","17.81","3.93M","0.27%"
"02/20/2014","18.41","18.26","18.79","18.15","2.49M","-0.49%"
"02/21/2014","18.47","18.67","18.79","18.46","1.83M","0.33%"
"02/24/2014","18.70","18.47","18.80","18.31","1.58M","1.25%"
