"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2017","36.25","35.50","36.39","35.40","4.04M","2.11%"
"07/31/2017","36.80","36.37","36.87","36.26","2.88M","1.52%"
"08/01/2017","36.89","36.85","37.10","36.65","2.17M","0.24%"
"08/02/2017","36.50","36.98","36.99","36.10","4.98M","-1.06%"
"08/03/2017","36.00","36.39","36.40","35.90","2.88M","-1.37%"
"08/04/2017","36.20","36.10","36.35","36.00","579.85K","0.56%"
"08/07/2017","35.81","36.20","36.20","35.81","1.62M","-1.08%"
"08/08/2017","36.00","35.85","36.04","35.85","310.69K","0.53%"
"08/09/2017","36.00","35.98","36.00","35.90","752.85K","0.00%"
"08/10/2017","35.95","35.95","36.00","35.90","417.18K","-0.14%"
"08/11/2017","35.95","35.95","35.98","35.85","502.28K","0.00%"
"08/14/2017","36.00","35.95","36.02","35.90","626.48K","0.14%"
"08/16/2017","35.85","35.92","35.98","35.77","934.51K","-0.42%"
"08/17/2017","34.02","35.61","35.85","34.02","1.87M","-5.10%"
"08/18/2017","34.20","34.00","34.55","33.90","944.81K","0.53%"
"08/21/2017","34.00","34.30","34.32","33.53","790.26K","-0.58%"
"08/22/2017","35.38","33.30","35.70","33.30","1.22M","4.06%"
"08/23/2017","35.93","35.52","36.18","35.52","1.62M","1.55%"
"08/24/2017","35.69","35.93","36.11","35.50","959.93K","-0.67%"
"08/25/2017","36.00","35.70","36.00","35.61","936.36K","0.87%"
"08/28/2017","35.80","36.00","36.00","35.20","115.32K","-0.56%"
"08/29/2017","35.72","35.95","35.95","35.50","99.60K","-0.22%"
"08/30/2017","35.80","35.90","35.99","35.70","426.54K","0.22%"
"08/31/2017","36.00","35.70","36.00","35.70","563.30K","0.56%"
"09/01/2017","36.59","36.10","36.62","36.03","529.91K","1.64%"
"09/04/2017","36.30","36.57","36.57","36.13","150.20K","-0.79%"
"09/05/2017","36.20","36.30","36.43","36.01","353.97K","-0.28%"
"09/06/2017","36.40","36.17","36.45","36.17","215.95K","0.55%"
"09/07/2017","36.12","36.40","36.48","36.12","202.43K","-0.77%"
"09/08/2017","36.33","36.15","36.40","36.15","97.45K","0.58%"
"09/11/2017","37.50","36.33","37.50","36.33","1.14M","3.22%"
"09/12/2017","37.87","37.62","38.03","37.50","582.38K","0.99%"
"09/13/2017","37.90","37.85","38.10","37.52","501.22K","0.08%"
"09/14/2017","37.78","37.80","37.84","37.14","696.16K","-0.32%"
"09/15/2017","37.99","37.50","37.99","37.42","916.68K","0.56%"
"09/18/2017","37.40","37.95","37.95","37.40","88.00K","-1.55%"
"09/19/2017","37.25","37.42","37.64","36.89","374.93K","-0.40%"
"09/20/2017","37.05","37.25","37.40","36.96","241.93K","-0.54%"
"09/21/2017","36.83","37.04","37.16","36.67","116.56K","-0.59%"
"09/22/2017","36.95","36.70","37.36","36.70","269.29K","0.33%"
"09/25/2017","36.88","36.82","37.06","36.82","372.69K","-0.19%"
"09/26/2017","37.00","36.80","37.10","36.73","437.64K","0.33%"
"09/27/2017","36.85","36.88","37.03","36.85","407.39K","-0.41%"
"09/28/2017","37.05","36.80","37.14","36.51","285.67K","0.54%"
"09/29/2017","37.08","37.00","37.08","36.61","318.29K","0.08%"
"10/02/2017","36.98","37.00","37.04","36.82","95.03K","-0.27%"
"10/03/2017","37.04","36.90","37.20","36.85","230.54K","0.16%"
"10/04/2017","36.69","36.85","36.90","36.23","97.99K","-0.94%"
"10/05/2017","36.74","36.50","36.74","36.13","514.63K","0.14%"
"10/06/2017","36.55","36.73","37.13","36.35","414.99K","-0.52%"
"10/09/2017","37.04","36.75","37.04","36.50","354.98K","1.34%"
"10/10/2017","37.24","37.00","37.25","36.70","330.86K","0.54%"
"10/11/2017","36.72","37.03","37.25","36.72","252.75K","-1.40%"
"10/12/2017","36.96","36.72","37.05","36.72","349.10K","0.65%"
"10/13/2017","37.34","36.99","37.60","36.71","455.63K","1.03%"
"10/16/2017","37.25","37.34","37.58","36.60","372.28K","-0.24%"
"10/17/2017","37.03","37.19","37.39","37.02","385.44K","-0.59%"
"10/18/2017","36.99","37.03","37.25","36.91","92.81K","-0.11%"
"10/19/2017","36.94","36.99","37.01","36.51","196.03K","-0.14%"
"10/20/2017","36.50","37.00","37.00","36.23","167.65K","-1.19%"
"10/23/2017","36.67","36.50","36.84","36.25","287.30K","0.47%"
"10/24/2017","36.49","36.49","36.78","36.38","136.23K","-0.49%"
"10/25/2017","36.00","36.49","36.49","36.00","166.76K","-1.34%"
"10/26/2017","36.11","36.00","36.29","36.00","474.14K","0.31%"
"10/27/2017","35.82","36.30","36.43","35.82","377.85K","-0.80%"
"10/30/2017","36.00","35.82","36.28","35.75","230.63K","0.50%"
"10/31/2017","36.80","36.01","37.05","36.01","930.45K","2.22%"
"11/02/2017","36.69","36.93","37.15","36.10","376.19K","-0.30%"
"11/03/2017","36.84","36.69","36.99","36.13","386.49K","0.41%"
"11/06/2017","36.90","36.84","37.00","36.27","257.71K","0.16%"
"11/07/2017","37.10","36.66","37.12","36.66","756.95K","0.54%"
"11/08/2017","37.44","37.06","37.45","36.75","653.06K","0.92%"
"11/09/2017","37.15","37.35","37.50","36.81","712.47K","-0.77%"
"11/10/2017","36.50","37.09","37.27","36.30","243.51K","-1.75%"
"11/13/2017","36.30","36.21","36.97","35.61","527.03K","-0.55%"
"11/14/2017","36.79","37.70","37.90","36.06","1.95M","1.35%"
"11/15/2017","36.31","36.79","36.79","36.14","1.03M","-1.30%"
"11/16/2017","36.50","36.27","36.78","36.08","678.61K","0.52%"
"11/17/2017","36.90","36.88","37.15","36.25","729.18K","1.10%"
"11/20/2017","36.90","36.91","37.10","36.64","691.79K","0.00%"
"11/21/2017","37.10","36.92","37.15","36.51","662.66K","0.54%"
"11/22/2017","36.90","37.00","37.00","36.66","456.08K","-0.54%"
"11/23/2017","37.00","36.68","37.10","36.65","395.92K","0.27%"
"11/24/2017","36.68","37.10","37.20","36.67","470.36K","-0.86%"
"11/27/2017","36.83","36.89","37.13","36.68","1.31M","0.41%"
"11/28/2017","36.80","36.96","37.07","36.72","1.10M","-0.08%"
"11/29/2017","36.15","37.05","37.05","36.11","1.32M","-1.77%"
"11/30/2017","36.12","36.45","36.80","36.00","10.42M","-0.08%"
"12/01/2017","35.99","36.22","36.47","35.31","804.71K","-0.36%"
"12/04/2017","35.95","36.00","36.11","35.50","286.04K","-0.11%"
"12/05/2017","35.40","35.60","35.62","35.05","865.78K","-1.53%"
"12/06/2017","34.17","35.40","35.40","33.77","1.32M","-3.47%"
"12/07/2017","34.90","34.13","35.05","34.07","439.22K","2.14%"
"12/08/2017","34.00","34.46","34.94","33.81","673.56K","-2.58%"
"12/11/2017","33.81","34.01","34.47","33.81","513.74K","-0.56%"
"12/12/2017","33.80","34.02","34.28","33.46","210.88K","-0.03%"
"12/13/2017","33.97","33.60","34.20","33.60","359.41K","0.50%"
"12/14/2017","33.54","33.83","34.18","33.23","495.56K","-1.27%"
"12/15/2017","34.03","33.33","34.03","33.30","475.43K","1.46%"
"12/18/2017","33.89","34.08","34.30","33.82","185.49K","-0.41%"
"12/19/2017","33.79","33.85","34.12","33.40","412.42K","-0.30%"
"12/20/2017","33.51","33.75","33.79","33.48","424.33K","-0.83%"
"12/21/2017","33.60","33.48","33.86","33.47","596.60K","0.27%"
"12/22/2017","33.50","33.51","33.73","33.45","88.63K","-0.30%"
"12/27/2017","33.73","33.50","33.73","33.41","182.51K","0.69%"
"12/28/2017","33.78","33.79","34.15","33.60","454.84K","0.15%"
"12/29/2017","33.81","33.97","34.14","33.61","121.85K","0.09%"
"01/03/2018","34.50","34.60","34.60","33.84","191.35K","2.04%"
"01/04/2018","34.60","34.48","34.88","34.22","718.43K","0.29%"
"01/05/2018","34.78","34.60","34.94","34.60","125.26K","0.52%"
"01/08/2018","35.90","34.90","35.94","34.90","220.13K","3.22%"
"01/09/2018","35.50","35.84","35.88","35.16","537.24K","-1.11%"
"01/10/2018","34.80","35.20","35.28","34.32","403.88K","-1.97%"
"01/11/2018","34.60","34.80","34.80","34.42","202.96K","-0.57%"
"01/12/2018","34.30","34.78","34.78","34.10","207.73K","-0.87%"
"01/15/2018","34.00","34.50","34.66","33.86","313.13K","-0.87%"
"01/16/2018","34.32","34.22","34.38","34.14","334.93K","0.94%"
"01/17/2018","34.20","34.38","34.56","34.14","410.80K","-0.35%"
"01/18/2018","33.76","34.26","34.30","33.66","364.31K","-1.29%"
"01/19/2018","33.50","33.80","33.90","33.34","573.59K","-0.77%"
"01/22/2018","33.90","33.74","33.90","32.50","1.02M","1.19%"
"01/23/2018","33.90","34.00","34.24","33.24","661.35K","0.00%"
"01/24/2018","33.20","34.06","34.10","32.90","529.68K","-2.06%"
"01/25/2018","32.22","33.60","33.60","32.22","1.14M","-2.95%"
"01/26/2018","33.18","32.32","33.18","32.26","491.26K","2.98%"
"01/29/2018","33.36","33.30","33.48","33.02","532.20K","0.54%"
"01/30/2018","33.64","33.36","33.64","33.32","143.14K","0.84%"
"01/31/2018","34.00","33.50","34.18","33.50","558.79K","1.07%"
"02/01/2018","33.42","34.00","34.00","33.20","432.62K","-1.71%"
"02/02/2018","33.20","33.32","33.50","33.02","154.40K","-0.66%"
"02/05/2018","33.30","33.10","33.44","32.92","242.09K","0.30%"
"02/06/2018","32.54","32.50","33.00","31.86","439.38K","-2.28%"
"02/07/2018","32.50","32.58","33.26","32.32","392.94K","-0.12%"
"02/08/2018","31.90","32.50","32.62","31.90","389.93K","-1.85%"
"02/09/2018","31.24","31.88","32.04","31.20","512.95K","-2.07%"
"02/12/2018","31.72","31.70","32.12","31.52","239.81K","1.54%"
"02/13/2018","32.00","31.74","32.10","31.74","381.77K","0.88%"
"02/14/2018","31.80","32.00","32.10","31.64","711.60K","-0.63%"
"02/15/2018","31.58","32.00","32.00","31.58","632.22K","-0.69%"
"02/16/2018","32.60","31.88","32.98","31.72","1.47M","3.23%"
"02/19/2018","32.06","32.50","32.58","31.86","220.10K","-1.66%"
"02/20/2018","32.20","31.98","32.40","31.80","167.47K","0.44%"
"02/21/2018","32.70","32.36","32.70","32.04","314.75K","1.55%"
"02/22/2018","32.24","32.48","32.54","32.08","316.63K","-1.41%"
"02/23/2018","33.38","32.40","33.46","32.04","453.26K","3.54%"
"02/26/2018","33.90","33.38","34.24","33.18","425.47K","1.56%"
"02/27/2018","34.20","34.20","34.34","33.56","444.18K","0.88%"
"02/28/2018","33.80","33.88","34.26","33.10","781.48K","-1.17%"
"03/01/2018","34.30","33.80","34.60","33.52","428.62K","1.48%"
"03/02/2018","32.70","34.00","34.08","32.62","597.14K","-4.66%"
"03/05/2018","32.78","32.70","33.34","32.52","104.71K","0.24%"
"03/06/2018","33.02","33.00","33.70","33.00","84.58K","0.73%"
"03/07/2018","33.50","33.00","33.70","32.80","142.35K","1.45%"
"03/08/2018","34.32","33.60","34.48","33.58","367.03K","2.45%"
"03/09/2018","34.44","34.30","34.50","33.72","327.02K","0.35%"
"03/12/2018","34.40","34.52","34.60","34.04","245.72K","-0.12%"
"03/13/2018","34.40","34.40","34.52","34.30","329.00K","0.00%"
"03/14/2018","34.46","34.48","34.48","34.10","142.14K","0.17%"
"03/15/2018","33.94","34.32","34.48","33.94","125.95K","-1.51%"
"03/16/2018","33.72","33.90","34.28","33.70","352.83K","-0.65%"
"03/19/2018","33.20","33.80","34.00","33.20","87.69K","-1.54%"
"03/20/2018","33.20","33.08","33.56","33.08","262.67K","0.00%"
"03/21/2018","33.00","33.40","33.58","32.70","252.28K","-0.60%"
"03/22/2018","32.70","33.00","33.02","32.60","74.45K","-0.91%"
"03/23/2018","32.46","32.56","33.44","32.46","314.88K","-0.73%"
"03/26/2018","32.02","32.50","32.90","32.02","194.11K","-1.36%"
"03/27/2018","31.62","32.20","32.70","31.62","139.99K","-1.25%"
"03/28/2018","32.50","31.62","32.86","31.52","337.52K","2.78%"
"03/29/2018","33.12","32.64","33.40","32.50","294.06K","1.91%"
"04/03/2018","33.32","32.84","33.70","32.36","133.39K","0.60%"
"04/04/2018","33.28","33.32","33.82","32.90","146.61K","-0.12%"
"04/05/2018","32.70","33.02","33.48","32.50","236.06K","-1.74%"
"04/06/2018","32.02","32.70","32.98","31.66","557.42K","-2.08%"
"04/09/2018","32.00","31.92","32.38","31.76","129.99K","-0.06%"
"04/10/2018","32.50","32.00","32.74","32.00","150.90K","1.56%"
"04/11/2018","31.88","32.24","32.54","31.52","192.39K","-1.91%"
"04/12/2018","32.18","32.40","32.84","32.08","345.82K","0.94%"
"04/13/2018","32.20","32.22","32.30","32.12","862.06K","0.06%"
"04/16/2018","32.16","32.30","32.40","32.12","71.13K","-0.12%"
"04/17/2018","32.40","32.20","32.50","32.16","131.51K","0.75%"
"04/18/2018","32.38","32.50","32.54","32.22","238.07K","-0.06%"
"04/19/2018","32.30","32.30","32.48","32.22","173.17K","-0.25%"
"04/20/2018","32.18","32.64","32.70","32.18","129.25K","-0.37%"
"04/23/2018","32.00","32.12","32.38","32.00","97.47K","-0.56%"
"04/24/2018","32.00","32.20","32.48","32.00","169.28K","0.00%"
"04/25/2018","31.98","32.06","32.40","31.82","72.95K","-0.06%"
"04/26/2018","32.60","32.10","32.70","32.04","178.72K","1.94%"
"04/27/2018","32.60","32.50","32.60","32.10","601.46K","0.00%"
"04/30/2018","29.64","30.54","30.54","29.52","217.23K","-9.08%"
