"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2014","4.420","4.390","4.420","4.340","1.50M","1.14%"
"01/03/2014","4.360","4.420","4.430","4.350","1.82M","-1.36%"
"01/07/2014","4.250","4.340","4.350","4.230","2.36M","-2.52%"
"01/08/2014","4.280","4.280","4.350","4.230","1.80M","0.71%"
"01/09/2014","4.210","4.300","4.350","4.210","905.96K","-1.64%"
"01/10/2014","4.190","4.220","4.230","4.150","2.55M","-0.48%"
"01/13/2014","4.350","4.200","4.390","4.200","3.04M","3.82%"
"01/14/2014","4.370","4.300","4.440","4.300","3.13M","0.46%"
"01/15/2014","4.250","4.400","4.440","4.250","2.34M","-2.75%"
"01/16/2014","4.300","4.280","4.320","4.250","2.14M","1.18%"
"01/17/2014","4.220","4.310","4.320","4.220","1.37M","-1.86%"
"01/20/2014","4.270","4.230","4.290","4.230","995.29K","1.18%"
"01/21/2014","4.270","4.290","4.340","4.260","1.94M","0.00%"
"01/22/2014","4.310","4.310","4.380","4.250","2.62M","0.94%"
"01/23/2014","4.220","4.310","4.330","4.220","2.10M","-2.09%"
"01/24/2014","4.040","4.240","4.250","4.040","5.84M","-4.27%"
"01/27/2014","4.110","4.050","4.160","4.050","4.33M","1.73%"
"01/28/2014","4.100","4.160","4.170","4.090","3.62M","-0.24%"
"01/29/2014","4.150","4.120","4.170","4.090","2.99M","1.22%"
"01/30/2014","4.200","4.150","4.230","4.110","3.27M","1.20%"
"01/31/2014","4.280","4.270","4.330","4.230","4.46M","1.90%"
"02/03/2014","4.340","4.280","4.380","4.280","1.99M","1.40%"
"02/04/2014","4.340","4.280","4.380","4.280","2.26M","0.00%"
"02/05/2014","4.340","4.310","4.420","4.310","6.20M","0.00%"
"02/06/2014","4.460","4.360","4.460","4.360","2.27M","2.76%"
"02/07/2014","4.490","4.430","4.490","4.400","1.77M","0.67%"
"02/10/2014","4.510","4.480","4.510","4.440","2.06M","0.45%"
"02/11/2014","4.500","4.510","4.580","4.460","2.88M","-0.22%"
"02/12/2014","4.700","4.550","4.700","4.530","4.60M","4.44%"
"02/13/2014","4.700","4.660","4.700","4.610","1.88M","0.00%"
"02/14/2014","4.820","4.720","4.820","4.720","3.04M","2.55%"
"02/17/2014","4.870","4.820","4.880","4.820","1.10M","1.04%"
"02/18/2014","4.850","4.890","4.920","4.800","3.56M","-0.41%"
"02/19/2014","4.830","4.830","4.850","4.780","2.78M","-0.41%"
"02/20/2014","4.770","4.750","4.800","4.640","2.13M","-1.24%"
"02/21/2014","4.840","4.800","4.880","4.800","2.11M","1.47%"
"02/24/2014","5.060","4.840","5.060","4.820","3.25M","4.55%"
"02/25/2014","4.910","5.010","5.040","4.910","2.49M","-2.96%"
"02/26/2014","4.700","4.890","4.890","4.700","4.71M","-4.28%"
"02/27/2014","4.760","4.700","4.800","4.700","1.53M","1.28%"
"02/28/2014","4.820","4.800","4.820","4.780","2.16M","1.26%"
"03/03/2014","4.710","4.620","4.740","4.540","3.65M","-2.28%"
"03/04/2014","4.930","4.700","4.930","4.700","3.04M","4.67%"
"03/05/2014","4.800","4.860","4.970","4.800","3.40M","-2.64%"
"03/06/2014","4.960","4.860","4.960","4.840","2.24M","3.33%"
"03/07/2014","4.900","4.930","4.940","4.860","3.41M","-1.21%"
"03/10/2014","4.860","4.890","4.960","4.850","1.82M","-0.82%"
"03/11/2014","4.920","4.860","4.970","4.860","2.87M","1.23%"
"03/12/2014","4.900","4.880","4.980","4.820","4.08M","-0.41%"
"03/13/2014","4.800","4.870","4.960","4.800","3.18M","-2.04%"
"03/14/2014","4.880","4.710","4.900","4.700","3.70M","1.67%"
"03/17/2014","5.000","4.880","5.000","4.880","1.69M","2.46%"
"03/18/2014","4.960","5.000","5.000","4.910","4.64M","-0.80%"
"03/19/2014","5.050","4.970","5.050","4.890","4.02M","1.81%"
"03/20/2014","5.070","4.960","5.080","4.940","2.81M","0.40%"
"03/21/2014","5.250","5.070","5.250","5.070","7.35M","3.55%"
"03/24/2014","5.180","5.160","5.200","5.130","2.93M","-1.33%"
"03/25/2014","5.160","5.130","5.230","5.120","1.98M","-0.39%"
"03/26/2014","5.240","5.160","5.280","5.160","2.36M","1.55%"
"03/27/2014","5.300","5.210","5.340","5.200","4.42M","1.15%"
"03/28/2014","5.230","5.290","5.340","5.220","2.06M","-1.32%"
"03/31/2014","5.250","5.250","5.290","5.120","4.04M","0.38%"
"04/01/2014","5.300","5.210","5.310","5.180","3.67M","0.95%"
"04/02/2014","5.250","5.300","5.310","5.230","1.45M","-0.94%"
"04/03/2014","5.300","5.250","5.300","5.230","1.99M","0.95%"
"04/04/2014","5.200","5.250","5.280","5.180","1.39M","-1.89%"
"04/07/2014","5.050","5.190","5.190","4.990","2.97M","-2.88%"
"04/08/2014","5.110","5.010","5.110","4.910","2.69M","1.19%"
"04/09/2014","5.000","5.100","5.100","5.000","1.63M","-2.15%"
"04/10/2014","5.140","5.010","5.200","5.010","3.47M","2.80%"
"04/11/2014","5.060","5.070","5.120","5.000","1.76M","-1.56%"
"04/14/2014","5.000","5.000","5.040","4.960","680.50K","-1.19%"
"04/15/2014","4.950","5.000","5.070","4.950","2.22M","-1.00%"
"04/16/2014","4.990","5.000","5.100","4.970","2.55M","0.81%"
"04/17/2014","5.070","5.060","5.090","5.030","1.25M","1.60%"
"04/22/2014","5.180","5.040","5.180","5.040","1.23M","2.17%"
"04/23/2014","5.240","5.180","5.240","5.160","2.21M","1.16%"
"04/24/2014","5.170","5.180","5.260","5.150","1.81M","-1.34%"
"04/25/2014","5.120","5.120","5.230","5.090","1.35M","-0.97%"
"04/28/2014","5.210","5.120","5.240","5.120","1.08M","1.76%"
"04/29/2014","5.270","5.200","5.270","5.200","2.37M","1.15%"
"04/30/2014","5.350","5.270","5.350","5.220","2.37M","1.52%"
"05/02/2014","5.250","5.250","5.330","5.240","1.40M","-1.87%"
"05/05/2014","5.200","5.220","5.250","5.160","439.58K","-0.95%"
"05/06/2014","5.250","5.170","5.290","5.170","2.33M","0.96%"
"05/07/2014","5.250","5.250","5.250","5.070","5.19M","0.00%"
"05/08/2014","5.240","5.250","5.320","5.220","3.15M","-0.19%"
"05/09/2014","5.110","5.240","5.280","5.110","3.66M","-2.48%"
"05/12/2014","5.210","5.130","5.210","5.110","542.80K","1.96%"
"05/13/2014","5.320","5.210","5.320","5.200","1.79M","2.11%"
"05/14/2014","5.320","5.300","5.340","5.270","2.47M","0.00%"
"05/15/2014","5.170","5.320","5.380","5.170","3.70M","-2.82%"
"05/16/2014","5.280","5.180","5.300","5.180","696.87K","2.13%"
"05/19/2014","5.340","5.250","5.350","5.220","2.74M","1.14%"
"05/20/2014","5.330","5.320","5.350","5.280","1.01M","-0.19%"
"05/21/2014","5.350","5.320","5.360","5.290","1.17M","0.38%"
"05/22/2014","5.380","5.350","5.400","5.330","2.67M","0.56%"
"05/23/2014","5.470","5.400","5.490","5.380","3.03M","1.67%"
"05/26/2014","5.410","5.490","5.490","5.380","752.46K","-1.10%"
"05/27/2014","5.280","5.420","5.430","5.250","1.27M","-2.40%"
